Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,author_demographic,author_demo_confidence,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
x,post,2068945097715249224,"𝗞𝗘𝗡𝗬𝗔𝗧𝗔𝗔𝗡 𝗠𝗘𝗗𝗜𝗔
22 Jun 2026

𝗕𝗘𝗥𝗦𝗔𝗠𝗔 𝗕𝗘𝗥𝗧𝗔𝗡𝗗𝗜𝗡𝗚 𝗗𝗜 𝟭𝟱 𝗞𝗘𝗥𝗨𝗦𝗜 𝗗𝗔𝗟𝗔𝗠 𝗣𝗥𝗡 𝗝𝗢𝗛𝗢𝗥 𝟮𝟬𝟮𝟲

𝗕𝗘𝗥𝗦𝗔𝗠𝗔  akan bertanding di 15 kerusi dalam Pilihanraya Negeri Johor 2026. 

Kerusi-kerusi yang ini dinilai berdasarkan faktor-faktor berikut:

1)Latar belakang dan kecenderungan pengundi berdasarkan dapatan-dapatan kaji selidik dan data yang telah dijalankan sejak enam bulan yang lepas;

2)Sambutan terhadap 𝗕𝗘𝗥𝗦𝗔𝗠𝗔  setakat ini, berdasarkan keahlian mengikut unit parlimen dan kecenderungan ahli-ahli di kawasan terbabit;

3)Kesesuaian calon-calon dari kalangan perintis 𝗕𝗘𝗥𝗦𝗔𝗠𝗔  di Johor dan calon-calon terbuka yang menawarkan diri untuk bertanding di kerusi-kerusi tersebut;

4)Kemampuan 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 mengendalikan kempen pilihanraya secara berkesan di kerusi-kerusi tersebut.

Berikut adalah senarai kerusi yang akan ditandingi 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 di PRN Johor 2026:

1. DUN Bukit Naning (N14) - penyandang (UMNO)

2. DUN Mahkota (N29) - penyandang (UMNO)

3. DUN Tiram (N40) - penyandang (UMNO)

4. DUN Puteri Wangsa (N41) - penyandang (MUDA)

5. DUN Johor Jaya (N42) - penyandang (DAP)

6. DUN Permas (N43) - penyandang (UMNO)

7. DUN Larkin (N44) - penyandang (UMNO)

8. DUN Stulang (N45) - penyandang (DAP)

9. DUN Perling (N46) - penyandang (DAP)

10. DUN Kempas (N47) - penyandang (UMNO)

11. DUN Skudai (N48) - penyandang (DAP)

12. DUN Kota Iskandar (N49) - penyandang (UMNO)

13. DUN Bukit Permai (N50) - penyandang (UMNO)

14. DUN Bukit Batu (N51) - penyandang (PKR)

15. DUN Senai (N52) - penyandang (DAP)

Calon-calon 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 akan diumumkan pada hari Jumaat ini jam 8 malam di Johor Bahru bersempena dengan pelancaran trak kancil. Tempat pelancaran akan diumumkan kelak.

Ahli-ahli 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 dan orang ramai yang ingin menjadi jentera BERSAMA di 15 kerusi ini boleh mula mendaftarkan diri di https://t.co/6vXmDO7QDX

Sistem ejen undi (PACA) telah dibuka untuk pendaftaran.

Ahli-ahli 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 dan orang ramai yang ingin menjadi PACA boleh lawati
https://t.co/6vXmDO7QDX dan klik “𝗦𝗲𝗿𝘁𝗮𝗶 𝗞𝗲𝗺𝗽𝗲𝗻”.

Dari situ, anda boleh log masuk ke sistem kempen 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 (setelah mendapat OTP) dan melalui proses untuk menjadi PACA. Ini termasuk mengemukakan dokumen-dokumen yang dikehendaki SPR dan melalui latihan.

Sistem kempen bersepadu𝗕𝗘𝗥𝗦𝗔𝗠𝗔 akan mula dibuka esok (Selasa, 23 Jun 2026) yang membolehkan ahli-ahli 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 dan orang ramai dari seluruh negara memilih kempen pilihanraya yang ingin disertai/dibantu mengikut tarikh, masa, lokasi dan jenis-jenis aktiviti.

𝗕𝗘𝗥𝗦𝗔𝗠𝗔 berhasrat untuk merintis kempen pilihanraya moden yang tidak memerlukan perbelanjaan pilihanraya yang besar dengan mengaktifkan seberapa ramai ahlinya dan orang ramai dari seluruh Malaysia membantu kempen 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 di 15 kerusi ini secara sukarela.

Bagi 𝗕𝗘𝗥𝗦𝗔𝗠𝗔, PRN Johor 2026 bukan sahaja medan berebut kerusi dan pangkat untuk orang-orang politik.

Ia peluang untuk merintis budaya politik yang lebih berfokus kepada penyelesaian masalah rakyat dan masa depan negara dan rakyat.

𝟮𝟮 𝗝𝘂𝗻 𝟮𝟬𝟮𝟲
𝘉𝘢𝘨𝘪 𝘱𝘪𝘩𝘢𝘬 𝗕𝗘𝗥𝗦𝗔𝗠𝗔

𝗥𝗮𝗳𝗶𝘇𝗶 𝗥𝗮𝗺𝗹𝗶
𝗡𝗶𝗸 𝗡𝗮𝘇𝗺𝗶 𝗡𝗶𝗸 𝗔𝗵𝗺𝗮𝗱",https://x.com/rafiziramli/status/2068945097715249224,,,neutral,2026-06-22 06:32:05+00:00,886,336,60,90308,0.5,2185,1828.308,,,neutral,0.9870350956916809,malay,Malay/Bumiputera,Unknown,0.0,no_clear_emotion,0.036433469504117966,0.015246078372001648,0.0354885533452034,0.016265561804175377,0.12039355933666229,0.026441311463713646
x,comment,2068946915392356546,@rafiziramli Yes! Puteri Wangsa masuk senarai https://t.co/SZWk9pAge6,,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,positive,2026-06-22 06:39:18+00:00,27,1,0,0,0.8539528876543044,29,,Cen Polo,0.0,positive,0.513176292181015,multilingual,Unknown,Unknown,0.25,no_clear_emotion,0.030809229239821434,0.016032252460718155,0.05392415076494217,0.019054250791668892,0.36999034881591797,0.03606569766998291
x,comment,2068952091553628294,"@rafiziramli @SyeffulE Terbaik. BERSAMA pasti menang many seats 💪🏽

Putri Wangsa nampak very tempting for me to help out BERSAMA ☺️

Jgn ditanya kenapa Putri Wangsa 🤭",,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,positive,2026-06-22 06:59:52+00:00,24,0,0,0,0.9409962832927703,24,,M.S.G.S - ਮਨਜੀਤ ਸਿੰਘ,0.0,positive,0.8033209443092346,english,Mixed/Urban,Unknown,0.25,happy,0.02011539414525032,0.04947971925139427,0.7902041673660278,0.010601937770843506,0.0667799711227417,0.02500561811029911
x,comment,2068947742311989610,@rafiziramli Moga dipermudah segala urusan &amp; mendapat support pengundi👍💪,,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,positive,2026-06-22 06:42:35+00:00,19,2,1,0,0.9249828159809113,26,,Mohd Idris Omar,0.0,positive,0.7499427199363708,english,Malay/Bumiputera,Malay/Bumiputera,0.72,happy,0.04003065451979637,0.045787159353494644,0.6459006071090698,0.015106398612260818,0.16157743334770203,0.020447993651032448
x,comment,2068946402244284482,"@rafiziramli Alhamdulillah. 15 kerusi. 
Satu lagi YB, kalau boleh la , letak satu lagi di DUN Layang-layang. Sebab sana kawasan campuran kaum.",,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,positive,2026-06-22 06:37:16+00:00,19,1,1,0,0.9993821799755096,24,,Ijam Rahim,0.0,positive,0.9979405999183655,malay,Malay/Bumiputera,Malay/Bumiputera,0.65,no_clear_emotion,0.017102515324950218,0.013692754320800304,0.017022326588630676,0.014533428475260735,0.11432959139347076,0.06034794822335243
x,comment,2068945972227711280,"@rafiziramli Lets goooooooooo
❤️‍🔥📈 https://t.co/TRP8DsRPSw",,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,positive,2026-06-22 06:35:33+00:00,15,2,2,0,0.9627491950988769,25,,Tok Hang,0.0,positive,0.8758306503295898,english,Malay/Bumiputera,Malay/Bumiputera,0.74,love,0.11108781397342682,0.08473340421915054,0.0538758784532547,0.13198789954185486,0.5157113671302795,0.0466734878718853
x,comment,2068973792861519961,@rafiziramli Wah Skudai pon ada. Aka pujuk sahabat2 lama dekat Taman U untuk undi BERSAMA.,,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,positive,2026-06-22 08:26:06+00:00,9,0,0,0,0.8962127804756164,9,,Filipooh,0.0,positive,0.6540426015853882,malay,Malay/Bumiputera,Unknown,0.25,love,0.06931209564208984,0.012056473642587662,0.031544942408800125,0.019514571875333786,0.5789652466773987,0.024740571156144142
x,comment,2068953027999043924,"@rafiziramli game on YB 💪💪💪 

#BERSAMA 
Barisan Rakyat Suara Malaysia",,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,positive,2026-06-22 07:03:35+00:00,7,0,0,0,0.9109690159559249,7,,Barzsa #AyuhMalaysia #BERSAMA,0.0,positive,0.7032300531864166,multilingual,Unknown,Unknown,0.25,love,0.05848568677902222,0.014623336493968964,0.08126077055931091,0.023831702768802643,0.5449603796005249,0.018874239176511765
x,comment,2069009130678067439,"@rafiziramli @ThIsIs_Zharif N42
N43

Baikk!! Siapa jaga whatsapp region parlimen dengan sukarelaean approve aku cepat. 

Nak jadi pak pacak ni",,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,neutral,2026-06-22 10:46:31+00:00,6,0,0,0,0.5,6,,Babah Of Six,0.0,neutral,0.7566511034965515,english,Mixed/Urban,Unknown,0.25,love,0.04212640970945358,0.03863110765814781,0.023460444062948227,0.029242027550935745,0.4320135712623596,0.13911394774913788
x,comment,2068963075366199397,@rafiziramli Hope I can contribute.. See you there,,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,positive,2026-06-22 07:43:31+00:00,5,0,0,0,0.9381998479366302,5,,Slayingwolf,0.0,positive,0.7939994931221008,english,Mixed/Urban,Unknown,0.25,happy,0.023067913949489594,0.07652246206998825,0.45302632451057434,0.022737503051757812,0.3060512840747833,0.0714409276843071
