Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
facebook,post,122171288942962533,"PAS Yakin Bentuk Kerajaan 
Baharu Negeri Sembilan

SEREMBAN: PAS yakin berpeluang membentuk kerajaan baharu di Negeri Sembilan selepas pilihan raya akan datang berdasarkan perkembangan positif sokongan rakyat terhadap parti itu ketika ini.

Naib Presiden PAS, Dato’ Sri Amar D’Raja Mohd Amar Abdullah berkata, PAS kini berada pada kedudukan yang semakin kukuh selepas 75 tahun perjuangan.

Sumber:-https://harakahdaily.net/2026/06/14/pas-yakin-bentuk-kerajaan-baharu-negeri-sembilan/?",https://www.facebook.com/permalink.php?story_fbid=pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl&id=61578875992858,,,neutral,2026-06-16T01:47:37+00:00,0,0,747,0,0.0,747,2241.0,,
facebook,comment,Y29tbWVudDoxMjIxNzEyODg5NDI5NjI1MzNfMjYxNDA3OTI3MjM0MzU3MA==,Dari  tahun 50an dio yakin...🤣🤣🤣,,https://www.facebook.com/permalink.php?story_fbid=pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl&id=61578875992858,pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl,neutral,2026-06-16T04:43:23+00:00,37,0,1,0,0.0,39,,Afn Afnvbn,0.0
facebook,comment,Y29tbWVudDoxMjIxNzEyODg5NDI5NjI1MzNfMjcxNDU0NTg2MTE3OTIzMDM=,"Parti yg mempunyai record terbanyak dimana pemimpin islam yg dikenakan membayar saman ganti rugi Fitnah ialah dari parti PAS. Parti PAS memang jaguh didalam isu Fitnah dan  membuat fitnah adalah salah satu mata pelajaran yg digemari oleh para pemimpin PAS PIS PUS  lelaki dan perempuan untuk menempah nama mereka  menjadi lebih terkenal. Berapa ramai pemimpin PAS PIS PUS telah membayar saman ganti ganti rugi, namun mereka tidak merasa malu dgn perbuatan mereka yg keji. Yg hairannya pemimpin2 tinggi PAS PIS PUS seperti Hadi Awang, Tuan Ibrahim Tuan Man dan yg lain2 bolih buat bodoh dan tidak mahu memberikan kenyataan mengenai kes2 fitnah yg melanda PAS PIS PUS. Nama aje parti islam tetapi menggunakan islam serta menonggang ugama islam untuk memperbodohkan penyokong2 mereka dan org2 islam. Apa punya bangang, bebal dan bengap pemimpin2 islam seperti Hadi Awang yg ada ilmu ugama dan mengetahui membuat fitnah ini ada dosa yg besar lebih besar dari dosa membunuh tetapi akhlak dan perangai pemimpin2 PAS PIS PUS seperti Hadi Awang adalah seperti berok kerana tidak mahu mengaku kesalahan yg telah dibuat oleh anggota nya dan seterusnya hendak membetulkan Kesalahan dan kesilapan serta ""mencuci""  pemikiran najis akal otak mereka supaya akal itu ditemankan dgn iman agar syiar islam yg mulia dijaga dgn baik tidak dimalukan dgn perbuatan pemimpin2 PAS PIS yg ketagih suka membuat Fitnah.",,https://www.facebook.com/permalink.php?story_fbid=pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl&id=61578875992858,pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl,neutral,2026-06-16T03:14:15+00:00,143,0,42,0,0.0,227,,Zailaini Kasmani,0.0
facebook,comment,Y29tbWVudDoxMjIxNzEyODg5NDI5NjI1MzNfMjQ2ODc4MzUyMzUzMTUxMA==,Pergi jahanamlah parti ajaran sesat dari N9 ini.,,https://www.facebook.com/permalink.php?story_fbid=pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl&id=61578875992858,pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl,neutral,2026-06-16T02:01:38+00:00,141,0,34,0,0.0,209,,Mohd Suffian Manap,0.0
facebook,comment,Y29tbWVudDoxMjIxNzEyODg5NDI5NjI1MzNfMTcxNDczODU5MzE3OTc1Mw==,"Elok2 air paip jernih,..berkeruh jadinya nanti",,https://www.facebook.com/permalink.php?story_fbid=pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl&id=61578875992858,pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl,neutral,2026-06-16T04:11:10+00:00,92,0,15,0,0.0,122,,Faisal Omar,0.0
facebook,comment,Y29tbWVudDoxMjIxNzEyODg5NDI5NjI1MzNfMzA1NDk1MjUwODA0ODU1OQ==,"Lebih baik pilih pembangunan macam Selangor dan Pulau Pinang.Pakatan HARAPAN sahaja dapat memakbulkan.

PMX HARAPAN DAP PKR AMANAH satu-satunya pakatan/pasukan yang mampu membawa Malaysia ke mercu kejayaan.

只有PMX HARAPAN DAP PKR AMANAH 能带给国家安稳及繁荣

拒绝Tolak BN PN PAS BERSAMA MCA 

支持Sokong HARAPAN DAP PKR AMANAH sepenuh hati dan sebulat suara 

Syabas PMX!

PMX jujur orangnya.Orang jujurlah dapat menguruskan negara ke mercu kejayaan.

Orang yang kurang jujur lagi gila kuasa akan ditolak.",,https://www.facebook.com/permalink.php?story_fbid=pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl&id=61578875992858,pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl,neutral,2026-06-16T05:49:22+00:00,63,0,12,0,0.0,87,,Tey Shong Hui,0.0
facebook,comment,Y29tbWVudDoxMjIxNzEyODg5NDI5NjI1MzNfNDA5MTc5MDMzNzc4OTA1NQ==,pombongak lak i pas...kuek  monipu eh,,https://www.facebook.com/permalink.php?story_fbid=pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl&id=61578875992858,pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl,neutral,2026-06-16T03:25:10+00:00,38,0,1,0,0.0,40,,Muhamad Idrus,0.0
facebook,comment,Y29tbWVudDoxMjIxNzEyODg5NDI5NjI1MzNfMTYxMDUzMjkzMDA0MzAxMQ==,bodoh la sapa2 undi puak2 penderhaka Tunku Mukhriz dan penghina sahabat2 Nabi....,,https://www.facebook.com/permalink.php?story_fbid=pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl&id=61578875992858,pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl,neutral,2026-06-16T05:07:38+00:00,45,0,3,0,0.0,51,,Haikal Rizqie,0.0
facebook,comment,Y29tbWVudDoxMjIxNzEyODg5NDI5NjI1MzNfMjk5NzU2ODExNzMwMDk3Mw==,Berpuloh2 tahun berangan tak sudah🤣🤣🤣🤣🤣🤣,,https://www.facebook.com/permalink.php?story_fbid=pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl&id=61578875992858,pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl,neutral,2026-06-16T08:28:06+00:00,9,0,0,0,0.0,9,,Noor Dinn,0.0
facebook,comment,Y29tbWVudDoxMjIxNzEyODg5NDI5NjI1MzNfMjcwMjI1NTE0NzczNjgwMzI=,Pelabur akan lari dan kemiskinan akan berlaku seperti negeri G4 dan akan menanggung bersama dosa penghina sahabat nabi.,,https://www.facebook.com/permalink.php?story_fbid=pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl&id=61578875992858,pfbid02JoVjXSCspJuFBY6rBUSxaRqgQZoQvZAccDAjDiGu8qtjwBDjVHmHyXRopH79HvgJl,neutral,2026-06-16T05:11:13+00:00,55,0,22,0,0.0,99,,Abdul Razak Hj Zakaria,0.0
