Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
facebook,post,1413892100514443,"🔥 JUALAN PANAS AKHIR & AWAL TAHUN 🔥

📅 31/12/2025 & 02/01/2026 SAHAJA!

💛 HARGA EMAS TERKINI DI KEDAI EMAS KAK EDA 💛

➡️ Trade-In : RM505/GM
➡️ Buy Back : RM500/GM
➡️ Emas Baru : RM570/GM
➡️ Exclusive : RM573/GM
➡️ Pre-Love : RM535/GM

✨ FREE UPAH untuk pembelian 2GM ke atas

✨ Peluang terbaik tambah simpanan emas sebelum harga naik!

📢 MAKLUMAN PENTING OPERASI KEDAI

🛑 *1Januari 2026*– KEDAI TUTUP
✅ *2 Januari 2026*– DIBUKA SEHINGGA JAM 2.00 PETANG (1400HRS)

🛑 *3 & 4 Januari 2026* – CUTI

✅ BEROPERASI SEMULA PADA 
*5 Januari 2026*

⚠️ 2 HARI SAHAJA PELUANG TERAKHIR SEBELUM CUTI PANJANG!

Datang awal untuk elakkan terlepas harga promosi 🔥

“Harga boleh berubah, peluang tidak selalu datang.

Jangan tunggu, emas menanti anda hari ini! 💛”",https://www.facebook.com/kedaiemaskakeda67/posts/pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,,,neutral,1767142130,0,0,0,0,0.0,0,0.0,,
facebook,comment,Y29tbWVudDoxNDEzODkyMTAwNTE0NDQzXzczNDIwOTc3NjQwNjIyOQ==,Mantap,,https://www.facebook.com/kedaiemaskakeda67/posts/pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,neutral,2025-12-31T01:02:21.000Z,0,0,0,0,0.0,0,,Dar Wisa,0.0
facebook,comment,Y29tbWVudDoxNDEzODkyMTAwNTE0NDQzXzI2NjkxNTgwMjAwODk1NjQ=,"Hari ni buka kah,,, harga masih kah?",,https://www.facebook.com/kedaiemaskakeda67/posts/pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,neutral,2026-01-04T03:07:58.000Z,0,0,0,0,0.0,0,,Rina Erina,0.0
facebook,comment,Y29tbWVudDoxNDEzODkyMTAwNTE0NDQzXzEyMjY5ODIzNzI2NTQwODM=,Pm sis,,https://www.facebook.com/kedaiemaskakeda67/posts/pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,neutral,2025-12-31T02:57:47.000Z,0,0,0,0,0.0,0,,Scarlet Magragon,0.0
facebook,comment,Y29tbWVudDoxNDEzODkyMTAwNTE0NDQzXzgzNTEyOTYxOTM1MjIxMA==,Laris manis selalu jualannya 🤲,,https://www.facebook.com/kedaiemaskakeda67/posts/pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,neutral,2025-12-31T01:08:50.000Z,0,0,0,0,0.0,0,,Jumiati Bacho,0.0
facebook,comment,Y29tbWVudDoxNDEzODkyMTAwNTE0NDQzXzE1NTA0MzY2ODk1MjY5OTQ=,Up,,https://www.facebook.com/kedaiemaskakeda67/posts/pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,neutral,2025-12-31T02:13:18.000Z,0,0,0,0,0.0,0,,Emma Jailani,0.0
facebook,comment,Y29tbWVudDoxNDEzODkyMTAwNTE0NDQzXzEyMTczNzc0MTAzMzY4MDM=,semoga laris manis selalu 🤲,,https://www.facebook.com/kedaiemaskakeda67/posts/pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,neutral,2026-01-02T01:53:25.000Z,0,0,0,0,0.0,0,,Masnah Masnah,0.0
facebook,comment,Y29tbWVudDoxNDEzODkyMTAwNTE0NDQzXzE0MDUyMTc4MDEzMjE4MDc=,,,https://www.facebook.com/kedaiemaskakeda67/posts/pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,neutral,2025-12-31T02:01:44.000Z,0,0,0,0,0.0,0,,Amiey Bahar,0.0
facebook,comment,Y29tbWVudDoxNDEzODkyMTAwNTE0NDQzXzEyMzUzNjI5Nzg0NzU5NTg=,Upp,,https://www.facebook.com/kedaiemaskakeda67/posts/pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,neutral,2025-12-31T01:16:19.000Z,0,0,0,0,0.0,0,,Syida Sapaat,0.0
facebook,comment,Y29tbWVudDoxNDEzODkyMTAwNTE0NDQzXzg3NTcyMTEwMTUwNTU3MQ==,Up,,https://www.facebook.com/kedaiemaskakeda67/posts/pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,neutral,2025-12-31T01:18:31.000Z,0,0,0,0,0.0,0,,Syela Muhammad Nur,0.0
facebook,comment,Y29tbWVudDoxNDEzODkyMTAwNTE0NDQzXzExOTEzMTI1NTkyMTIzNTM=,,,https://www.facebook.com/kedaiemaskakeda67/posts/pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,pfbid0RQvgBzTweCZZGJPc5k8chJyAemoJrJ2vityhLQKACtAizWakRHRW1HHxsbuD2SGjl,neutral,2025-12-31T01:30:07.000Z,0,0,0,0,0.0,0,,Fyraa Fyraa Bt Rudi,0.0
facebook,post,10242820371155376,"Sue terlalu sibuk bulan ni..

Fokus nak clear dan kemaskan kedai SPOT BUNDLE KEMAMAN.
Kami last beroperasi akhir bulan ni. 

Rezeki kami dikedai ni sampai setakat ni, 
pahit gembira suka duka kami bermula dari kosong hingga ke hari ni berjaya harungi selama 9 tahun 🥰

Kedai jer stop operasi, jiwa bundle tetap di hati kami suami isteri. InshaAllah kita tengok perancangan Allah swt lepas ni camne..🥰
Sekarang nak pencen dulu, nak jadi surirumah plak 😂",https://www.facebook.com/suriati.salleh.sue/posts/pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,,,neutral,1779614948,0,0,0,0,0.0,0,0.0,,
facebook,comment,Y29tbWVudDoxMDI0MjgyMDM3MTE1NTM3Nl8yMDIxMjg0ODg4Nzc0MjQ0,Rehat bukan berhenti. Betul tak kak. Semoga sihat selalu dan dibukakan pintu2 rezeki seluas langit n bumi. Amin yra.,,https://www.facebook.com/suriati.salleh.sue/posts/pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,neutral,2026-05-26T08:03:42.000Z,1,0,1,0,0.0,3,,Norrimah Wahyudi,0.0
facebook,comment,Y29tbWVudDoxMDI0MjgyMDM3MTE1NTM3Nl8xNjY2ODM0NzQ3OTAwMjM1,Syg pulok kan..sbb lama dah.. takpe lah nk rehat kan..nti da puas rehat boleh start semula.. insyaallah,,https://www.facebook.com/suriati.salleh.sue/posts/pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,neutral,2026-05-26T08:28:01.000Z,1,0,2,0,0.0,5,,MieSyaa Shaa,0.0
facebook,comment,Y29tbWVudDoxMDI0MjgyMDM3MTE1NTM3Nl8xNjUzMzE2Nzc1NzU2MTkz,Allahuakbar Allahuakbar semoga dipermudahkan segala urusan 🤲,,https://www.facebook.com/suriati.salleh.sue/posts/pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,neutral,2026-05-24T10:42:25.000Z,0,0,1,0,0.0,2,,Bundle Zurich,0.0
facebook,comment,Y29tbWVudDoxMDI0MjgyMDM3MTE1NTM3Nl85OTU4ODQwNDk0OTI4MDg=,Smg dipermudahkan sgl urusan dan dimurahkan rezeki,,https://www.facebook.com/suriati.salleh.sue/posts/pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,neutral,2026-05-26T13:22:12.000Z,0,0,1,0,0.0,2,,Farah Razak,0.0
facebook,comment,Y29tbWVudDoxMDI0MjgyMDM3MTE1NTM3Nl85MjQzOTUzMDA2MDQ5NjQ=,Semoga dimurahkan rezeki dan dipermudahkan segala urusan su dan keluarga,,https://www.facebook.com/suriati.salleh.sue/posts/pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,neutral,2026-05-24T11:36:14.000Z,0,0,1,0,0.0,2,,Zaky Mat Ali,0.0
facebook,comment,Y29tbWVudDoxMDI0MjgyMDM3MTE1NTM3Nl8xNDE5MzIyMTE2ODc5NTYw,Nnt jgn lupa utk bangkit sue&sarol...Kami doakan kalian berjaya nnt kadaran imbalan dr kesabaran hari ini... insha'Allah,,https://www.facebook.com/suriati.salleh.sue/posts/pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,neutral,2026-05-24T09:46:06.000Z,0,0,1,0,0.0,2,,Pha Tly,0.0
facebook,comment,Y29tbWVudDoxMDI0MjgyMDM3MTE1NTM3Nl8xNjg4NTM4MTQyNDY0MzI3,Suar k. Nor nok ada dok sue,,https://www.facebook.com/suriati.salleh.sue/posts/pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,neutral,2026-05-26T06:49:12.000Z,0,0,1,0,0.0,2,,Meci Gurlz,0.0
facebook,comment,Y29tbWVudDoxMDI0MjgyMDM3MTE1NTM3Nl8xMzM0OTk1NzY4NTQ0NzM0,"Allah sue lamanya doh niaga, smg dipermudah urusan sue",,https://www.facebook.com/suriati.salleh.sue/posts/pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,neutral,2026-05-24T12:06:42.000Z,0,0,1,0,0.0,2,,Azlina Ismail,0.0
facebook,comment,Y29tbWVudDoxMDI0MjgyMDM3MTE1NTM3Nl8xNDg3MjU2NzU2NzY1MTQ2,Semoga dipermudahkan segalanya urusan 🤲🏻,,https://www.facebook.com/suriati.salleh.sue/posts/pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,neutral,2026-05-24T13:27:42.000Z,0,0,1,0,0.0,2,,Nur Syafiqah,0.0
facebook,comment,Y29tbWVudDoxMDI0MjgyMDM3MTE1NTM3Nl8xMzEzNTA2MDgzNDg1MDgw,Kedai kt mana sis ?,,https://www.facebook.com/suriati.salleh.sue/posts/pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,pfbid037MVNmm1AnSsnmyttcoqj43BVcE5KG21GDsc8tFJKSaxsaYtmUqPdTtcgxXw7pMdWl,neutral,2026-05-26T06:34:18.000Z,0,0,2,0,0.0,4,,Ain Hairunnisa,0.0
