Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
facebook,post,2723917311333841,Lagi ngedumel dalam hati 🤣 #fyp #pecintakucing #viral #funny #CatLover,https://www.facebook.com/reel/25336533885963318/,,,neutral,2025-12-10T10:00:59+00:00,0,0,675,0,0.0,675,2025.0,,
facebook,post,1340778707619107,Nasi Lemak Banjir enak sekali,https://www.facebook.com/MAKANTERUSSS.PAGE/posts/pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,,,neutral,2025-09-20T12:59:20+00:00,0,0,671,0,0.0,671,2013.0,,
facebook,comment,Y29tbWVudDoxMzQwNzc4NzA3NjE5MTA3Xzc4ODQ2NDM2NzQ1MTMzNQ==,Yummy,,https://www.facebook.com/MAKANTERUSSS.PAGE/posts/pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,neutral,2025-09-21T03:50:12.000Z,1,0,0,0,0.0,1,,Etty Kopong Rumlus,0.0
facebook,comment,Y29tbWVudDoxMzQwNzc4NzA3NjE5MTA3XzE1NjkyODYxODA3MDY5MzI=,mantap...,,https://www.facebook.com/MAKANTERUSSS.PAGE/posts/pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,neutral,2025-09-20T23:01:01.000Z,1,0,0,0,0.0,1,,Adin Bakhrudin,0.0
facebook,comment,Y29tbWVudDoxMzQwNzc4NzA3NjE5MTA3XzcyODI0NDYwMzU3MjU5Mw==,"Ihhhh jadi kangen aku SM nasi lemak 😭
Pose poseeeeee...sedappppp ya",,https://www.facebook.com/MAKANTERUSSS.PAGE/posts/pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,neutral,2025-09-20T23:25:34.000Z,1,0,1,0,0.0,3,,Menix Menix,0.0
facebook,comment,Y29tbWVudDoxMzQwNzc4NzA3NjE5MTA3XzExMDg3MzY3MTc1ODgzODk=,Selamat mlm kk.. Salam sksd,,https://www.facebook.com/MAKANTERUSSS.PAGE/posts/pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,neutral,2025-09-20T15:38:22.000Z,1,0,0,0,0.0,1,,Sity Alqolisah,0.0
facebook,comment,Y29tbWVudDoxMzQwNzc4NzA3NjE5MTA3XzgyNjYzMTE2OTcwNzI4Nw==,nikmat sekali,,https://www.facebook.com/MAKANTERUSSS.PAGE/posts/pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,neutral,2025-09-25T04:13:57.000Z,1,0,0,0,0.0,1,,Anisa Sonel,0.0
facebook,comment,Y29tbWVudDoxMzQwNzc4NzA3NjE5MTA3XzEzMTcxMzI0NDY4MTEzNjc=,Mntap kaka,,https://www.facebook.com/MAKANTERUSSS.PAGE/posts/pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,neutral,2025-09-24T14:33:56.000Z,0,0,0,0,0.0,0,,Della Dell,0.0
facebook,comment,Y29tbWVudDoxMzQwNzc4NzA3NjE5MTA3Xzc3NjYxNjE0NDk2NjM4Nw==,Good luck,,https://www.facebook.com/MAKANTERUSSS.PAGE/posts/pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,neutral,2025-09-24T02:38:04.000Z,0,0,0,0,0.0,0,,Carter Mobil Indramayu - Jawa Barat Tengah Timur,0.0
facebook,comment,Y29tbWVudDoxMzQwNzc4NzA3NjE5MTA3XzEzMDUxMjczNjc4NjIzNjk=,Mantap banget,,https://www.facebook.com/MAKANTERUSSS.PAGE/posts/pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,neutral,2025-09-21T03:54:03.000Z,0,0,0,0,0.0,0,,Teh Cicii,0.0
facebook,comment,Y29tbWVudDoxMzQwNzc4NzA3NjE5MTA3XzgxNzUyOTUyMDk1ODE1NA==,Mantap Salam kenal kak,,https://www.facebook.com/MAKANTERUSSS.PAGE/posts/pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,neutral,2025-09-21T01:23:15.000Z,0,0,0,0,0.0,0,,Darny BA,0.0
facebook,comment,Y29tbWVudDoxMzQwNzc4NzA3NjE5MTA3XzI5Mjk0NDQ5OTA1NjIzMjM=,Enak bgt,,https://www.facebook.com/MAKANTERUSSS.PAGE/posts/pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,pfbid0VpvWBkMgXqe3fBcoSsJitVXoZqAuTZ3cScijszvcftUUiUHKeoWPyimQ9mRtrQVUl,neutral,2025-09-21T02:22:13.000Z,0,0,0,0,0.0,0,,Pur Yanti,0.0
facebook,post,122111992478092059,"🎙️ “𝐓𝐚𝐤 𝐬𝐞𝐭𝐞𝐥? 𝐁𝐮𝐝𝐚𝐤 𝐧𝐢 𝐬𝐞𝐧𝐝𝐢𝐫𝐢 𝐚𝐤𝐚𝐧 𝐭𝐮𝐫𝐮𝐧 𝐩𝐚𝐝𝐚𝐧𝐠 𝐮𝐧𝐭𝐮𝐤 𝐬𝐞𝐭𝐞𝐥𝐤𝐚𝐧.” 👀

Bagi MB Johor, suara rakyat bukan sekadar untuk didengar… tapi untuk diselesaikan.

Jalan rosak, banjir, bantuan, kebajikan, kemudahan — bila rakyat bersuara, tindakan mesti menyusul. Cepat. Bukan tunggu viral.

Sebab dalam pentadbiran, semua ada amanah.
Semua ada tanggungjawab.
Semua dibayar gaji untuk bekerja.
Dan rakyat berhak dapat yang terbaik.

ON TAK ON… kerja untuk rakyat tetap ON. 🎥🔥

#OnTakOn #BangsaJohor #MajuJohor #Johor #FYP",https://www.facebook.com/reel/2039440873451020/,,,neutral,2026-05-23T10:15:33+00:00,0,0,455,0,0.0,455,1365.0,,
facebook,post,1421620309993085,"Nasi Lemak Banjir

📍NASI LEMAK ANGGERIK TAMAN MOLEK 
Jalan Molek 2/4, Taman Molek, 81100 Johor Bahru, Johor Darul Ta'zim, Malaysia
⏰5:30pm - 10pm",https://www.facebook.com/reel/1278428407040976/,,,neutral,2026-04-16T10:00:41+00:00,0,0,261,0,0.0,261,783.0,,
