Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
facebook,post,1249416020550115,"艾伯特再次释出影片，力证罗拔达威收贿30万

沙巴即将迎来选举之际，矿准丑闻吹哨人艾伯特再次释出影片，将矛头指向沙巴国家团结党（STAR）前署理主席罗拔达威。

这段影片今日上传到了面子书专页“Pejuang Tun Dr Mahathir”，其中显示艾伯特与罗拔达威在后者办公室里谈话，内容涉及一笔艾伯特声称已交付的款项。

“我给拿督（罗拔达威）约30万令吉，赞助款不算。”

艾伯特在查看WhatsApp讯息后，详述了2023年2月2日至同年5月12日的四笔汇款，并以恰似开玩笑的语气说道，自己并非要求罗拔达威归还这笔款项。

而罗拔达威则是语调轻松回道，若是要求偿还，自己也没有钱 。

《当今大马》就影片中的指控，联系了罗拔达威，目前尚在等待回应。

文字报道：https://www.malaysiakini.com/news/760127
画面来源：https://www.facebook.com/share/v/1DXJufuKYu/?mibextid=wwXIfr

#沙巴贪官 #艾伯特 #吹哨人 #探矿准证 #GRS #kinitv中文频道",https://www.facebook.com/reel/1587283475598826/,,,neutral,1762586099,0,0,0,0,0.0,0,0.0,,
facebook,post,1085821606909558,"【完整影片】习近平：愿与马方共建高水平、战略命运共同体
【关注 KiniTV 中文频道 】中国国家主席习近平访马第二天时，出席了首相安华举办的晚宴。

习近平在晚宴上发表演讲，高度肯定中马友谊，并强调双发将共同维护亚洲家园的前景。

习近平也表示，中方愿意与马方携手共建高水平、战略命运共同体。

画面来源：https://www.facebook.com/100067172753430/videos/1395194421492234

#习近平 #安华 #命运共同体 #马中关系 #中国 #习近平访马 #Kinitv中文频道",https://www.facebook.com/mkinicn/videos/1431407644947747/,,,neutral,1744813847,0,0,0,0,0.0,0,0.0,,
facebook,comment,Y29tbWVudDoxMDg1ODIxNjA2OTA5NTU4XzEwMTY0NTU1NjY2MTU2MzY=,❤️❤️❤️,,https://www.facebook.com/mkinicn/videos/1431407644947747/,,neutral,2025-04-16T23:40:03.000Z,0,0,0,0,0.0,0,,Yee Lan Chew,0.0
facebook,comment,Y29tbWVudDoxMDg1ODIxNjA2OTA5NTU4XzExNDU0ODMwNjA5NTMyMzc=,好,,https://www.facebook.com/mkinicn/videos/1431407644947747/,,neutral,2025-06-04T08:37:58.000Z,0,0,0,0,0.0,0,,Annie Fung,0.0
facebook,comment,Y29tbWVudDoxMDg1ODIxNjA2OTA5NTU4XzUzMDg5MjM1MzMxMTMwMA==,Amin,,https://www.facebook.com/mkinicn/videos/1431407644947747/,,neutral,2025-06-02T00:25:36.000Z,0,0,0,0,0.0,0,,Hapizi Dila,0.0
facebook,comment,Y29tbWVudDoxMDg1ODIxNjA2OTA5NTU4XzEyNDYyMTE4MDY4NjA1Mzc=,大网红,,https://www.facebook.com/mkinicn/videos/1431407644947747/,,neutral,2025-06-01T14:04:04.000Z,0,0,0,0,0.0,0,,Onn Onn,0.0
facebook,comment,Y29tbWVudDoxMDg1ODIxNjA2OTA5NTU4XzE5MDkyNDU0NDk4MzU2OTY=,維尼VS馬來饃,,https://www.facebook.com/mkinicn/videos/1431407644947747/,,neutral,2025-05-30T18:05:53.000Z,0,0,0,0,0.0,0,,吳嘉珉,0.0
facebook,comment,Y29tbWVudDoxMDg1ODIxNjA2OTA5NTU4Xzc1MDYxMDIxMDYyNjIzMQ==,Quả trung,,https://www.facebook.com/mkinicn/videos/1431407644947747/,,neutral,2025-05-30T10:30:28.000Z,0,0,0,0,0.0,0,,Gà Chọi Tân Sơn,0.0
facebook,comment,Y29tbWVudDoxMDg1ODIxNjA2OTA5NTU4XzIxODg1NjQyNjQ4OTAyMjM=,这样下去！它族人会有很多都怕到最后它族人会受到威胁！,,https://www.facebook.com/mkinicn/videos/1431407644947747/,,neutral,2025-05-17T23:12:00.000Z,0,0,0,0,0.0,0,,Cindy Wong,0.0
facebook,comment,Y29tbWVudDoxMDg1ODIxNjA2OTA5NTU4XzE4ODQyNzUzMTg5NzQ3NDA=,,,https://www.facebook.com/mkinicn/videos/1431407644947747/,,neutral,2025-04-22T15:08:28.000Z,0,0,0,0,0.0,0,,John Tee,0.0
facebook,comment,Y29tbWVudDoxMDg1ODIxNjA2OTA5NTU4Xzk1ODk5Mzc3NzExMjczNTQ=,然后又来一代一路带你们去荷兰？,,https://www.facebook.com/mkinicn/videos/1431407644947747/,,neutral,2025-04-22T03:08:59.000Z,1,0,0,0,0.0,1,,Jonathan Teo Kai Meng,0.0
facebook,comment,Y29tbWVudDoxMDg1ODIxNjA2OTA5NTU4XzIwOTg5Mzc3NDcyOTE1MTQ=,马中友谊万岁,,https://www.facebook.com/mkinicn/videos/1431407644947747/,,neutral,2025-04-19T14:24:53.000Z,1,0,0,0,0.0,1,,雷宝琪,0.0
facebook,post,1113136614178057,"赛夫丁哽咽谈拉菲兹   “很害怕他离开公正党”
【 关注 KiniTV 中文频道】公正党前总秘书赛夫丁纳苏丁透露，昨晚党选结果出炉后，他选择陪伴败选的拉菲兹。

赛夫丁今天在公正党大会上演讲是指出，他配着拉菲兹走下舞台，然后走到车旁。

“我们拥抱并握手，我们互相道歉。我必须坦白地说，我真的很害怕他会离开我们的政党。”

画面来源：https://www.facebook.com/amkmalaysia/videos/3381535692015567

#公正党 #党选 #拉菲兹 #败选 #赛夫丁 #哽咽 #Kinitv中文频道",https://www.facebook.com/mkinicn/videos/24640584042196419/,,,neutral,1748080130,0,0,0,0,0.0,0,0.0,,
facebook,comment,Y29tbWVudDoxMTEzMTM2NjE0MTc4MDU3XzcyMTk1MTA4MDQ5MDY4Mg==,他离开是好事！成立新党更是王道！留下来只能当隐形人！,,https://www.facebook.com/mkinicn/videos/24640584042196419/,,neutral,2025-05-24T15:54:03.000Z,0,0,0,0,0.0,0,,Liew Mei,0.0
facebook,comment,Y29tbWVudDoxMTEzMTM2NjE0MTc4MDU3XzExOTMwODczODU2MzA2NTY=,🤣🤣🖕,,https://www.facebook.com/mkinicn/videos/24640584042196419/,,neutral,2025-05-24T09:51:54.000Z,1,0,0,0,0.0,1,,Albert Chong Ks,0.0
facebook,comment,Y29tbWVudDoxMTEzMTM2NjE0MTc4MDU3XzM5NTc5ODI5ODc3ODgwMDk=,影帝。,,https://www.facebook.com/mkinicn/videos/24640584042196419/,,neutral,2025-05-25T06:09:12.000Z,0,0,0,0,0.0,0,,Seow Yin Chong,0.0
facebook,comment,Y29tbWVudDoxMTEzMTM2NjE0MTc4MDU3XzEyMDM5NjQ5NTc1OTA1NTA=,成班都系蛇鼠一窝臭坑出臭虫,,https://www.facebook.com/mkinicn/videos/24640584042196419/,,neutral,2025-05-25T05:01:43.000Z,0,0,0,0,0.0,0,,Tony Chua,0.0
facebook,comment,Y29tbWVudDoxMTEzMTM2NjE0MTc4MDU3XzEyMjA1NzQ4NDI5OTk2Mjc=,旧人不走，那里有新人来,,https://www.facebook.com/mkinicn/videos/24640584042196419/,,neutral,2025-05-25T01:16:15.000Z,0,0,0,0,0.0,0,,Lim Wanchai,0.0
facebook,comment,Y29tbWVudDoxMTEzMTM2NjE0MTc4MDU3XzEwODM0MjQ1OTAyOTIxMTE=,🇲🇾💖👍😍,,https://www.facebook.com/mkinicn/videos/24640584042196419/,,neutral,2025-05-25T00:52:48.000Z,0,0,0,0,0.0,0,,Ong Tai Ann,0.0
