Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
facebook,post,3100295576824841,"KELUARGA TUAN NILAM : BUKU NOVEL PBAKL 2026 RM35 [EXCLUDE POSTAGE]
Teaser 3
#PutraDarissa3

Sekarang diorg pula gaduh sama2. Masing-masing tak mahu mengalah 🤣🤣🤣

#KeluargaTuanNilam

“Sekarang kedai saya dah tutup, Encik Putra. Datang hari Isnin saja.” Selamba gadis itu mengarah-arah Putra datang kedainya hari lain. Kedengarannya malas melayan pelanggannya yang seorang ini.

“I terlambat sepuluh minit saja! Tidak boleh ke tunggu sekejap? Esok I nak balik Kuala Lumpur. I dah tak datang Ipoh lagi. Kerja I kat sini dah habis!” marah Putra di talian. 

Bengang dia terhadap gadis itu. Dia sudah mahu pulang ke Kuala Lumpur tapi semua pakaian dia tidak dapat dibawa balik bersama.

“Sepuluh minit encik itu lama. Sepuluh minit encik itu bersamaan dengan dua puluh minit saya. Masa saya tunggu di kedai dah berpatutan. Bukan salah saya. Encik yang lambat. Tak set jam betul-betul.” Balas gadis itu berani.

“Macam ini ya cara kau menjawap dengan customer?! Aku tak kira, aku nak kau patah balik ke kedai kau sekarang! Aku nak ambil baju aku petang ini juga!” tengking Putra kepada gadis itu dengan lebih tinggi lagi.

“Saya dah nak sampai rumah, Encik Nilam. Saya ada kerja lain pula nak buat petang ini. Lagipun, rumah saya jauh dari bandar Ipoh. Satu jam baru sampai. Tak larat saya nak ulang alik dengan motorsikal.”

Putra sudah merenggus geram. Dia menjerit di telefon. Dia hendakkan semua pakaiannya itu sebelum pulang ke Kuala Lumpur, esok.

“Apa kata kalau saya pos saja baju-baju encik itu, hari Isnin nanti?”

Pos? Terbeliak mata Putra. Dia terkejut mendengar cadangan tak masuk akal gadis itu. Hilang jawabnya nanti. Bajunya itu mahal dan berharga. 

“Kalau kau sanggup tanggung ribuan ringgit kerugian atas kehilangan dan kerosakan baju-baju aku itu, silakan pos!” cabar Putra. Kemarahannya sudah sampai tahap maksimum.

“Encik Putra penghantaran barang sekarang juga selamat. Baju-baju Encik Putra tak akan rosak atau hilang. Saya selalu saja pos pakaian customer saya yang hantar basuh di kedai dobi saya. Semuanya sampai dengan selamat.” balas gadis manis itu.

“Aku tak mahu! Aku nak baju-baju aku! Kau balik ke kedai kau sekarang juga Darissa!”

“Hey, Encik Putra! Kedai saya dah tutuplah! Tak faham bahasa lagi ke? Gilalah mamat berlagak kaya ini! Lantak kaulah. Malas aku nak layan.” Gadis bernama Darissa itu terus memadamkan panggilan telefon itu. Gadis itu malas mahu faham masalah yang dihadapi Putra. Yang pasti waktu kerjanya sudah tamat dan dia harus pulang ke rumah segera.

“Hey! Darissa! Darissa!” Putra hilang peluang mahu menjerit kepada gadis itu. Kalau dia tahu di mana rumah gadis itu, memang dia kejar sampai ke rumah.

“Mamat berlagak kaya? Dia gelarkan aku Mamat Berlagak Kaya? Tidak nampak lagi ke, aku memang betul-betul kaya?” gerutu Putra kegeraman bersama otak ligat berfikir macam mana dia nak dapatkan baju-bajunya itu.

BUKU NOVEL
UTK PEMBELIAN, WHATSAPP 0149356453/KeluargaTuanNilam 

#promoteaser #bestsellernovel  #wattpad #ebookmelayubest #ebooktiktok
#fyppppppppppppppppppp #fyppage #missnas #ebook #novel #novelromance #novelcinta #novelmelayu #ebookcinta #cinta #romance #teaser #wattpadrecommendation #bestseller #fypppppppppppppppppppppp #promoebook #promoteaser #bestsellernovel #bestsellerebook #wattpad #ebookmelayubest #fyp #ebooktiktok",https://www.facebook.com/groups/186625691525192/posts/3100295576824841/,,,neutral,1780145712,0,0,0,0,0.0,0,0.0,,
facebook,post,3079176608944443,"KELUARGA TUAN NILAM : BUKU NOVEL PBAKL2026 RM35 [EXCLUDE POSTAGE]
Teaser 3

#PutraDarissa3

Sekarang diorg pula gaduh sama2. Masing-masing tak mahu mengalah 🤣🤣🤣

#KeluargaTuanNilam

“Sekarang kedai saya dah tutup, Encik Putra. Datang hari Isnin saja.” Selamba gadis itu mengarah-arah Putra datang kedainya hari lain. Kedengarannya malas melayan pelanggannya yang seorang ini.

“I terlambat sepuluh minit saja! Tidak boleh ke tunggu sekejap? Esok I nak balik Kuala Lumpur. I dah tak datang Ipoh lagi. Kerja I kat sini dah habis!” marah Putra di talian. 

Bengang dia terhadap gadis itu. Dia sudah mahu pulang ke Kuala Lumpur tapi semua pakaian dia tidak dapat dibawa balik bersama.

“Sepuluh minit encik itu lama. Sepuluh minit encik itu bersamaan dengan dua puluh minit saya. Masa saya tunggu di kedai dah berpatutan. Bukan salah saya. Encik yang lambat. Tak set jam betul-betul.” Balas gadis itu berani.

“Macam ini ya cara kau menjawap dengan customer?! Aku tak kira, aku nak kau patah balik ke kedai kau sekarang! Aku nak ambil baju aku petang ini juga!” tengking Putra kepada gadis itu dengan lebih tinggi lagi.

“Saya dah nak sampai rumah, Encik Nilam. Saya ada kerja lain pula nak buat petang ini. Lagipun, rumah saya jauh dari bandar Ipoh. Satu jam baru sampai. Tak larat saya nak ulang alik dengan motorsikal.”

Putra sudah merenggus geram. Dia menjerit di telefon. Dia hendakkan semua pakaiannya itu sebelum pulang ke Kuala Lumpur, esok.

“Apa kata kalau saya pos saja baju-baju encik itu, hari Isnin nanti?”

Pos? Terbeliak mata Putra. Dia terkejut mendengar cadangan tak masuk akal gadis itu. Hilang jawabnya nanti. Bajunya itu mahal dan berharga. 

“Kalau kau sanggup tanggung ribuan ringgit kerugian atas kehilangan dan kerosakan baju-baju aku itu, silakan pos!” cabar Putra. Kemarahannya sudah sampai tahap maksimum.

“Encik Putra penghantaran barang sekarang juga selamat. Baju-baju Encik Putra tak akan rosak atau hilang. Saya selalu saja pos pakaian customer saya yang hantar basuh di kedai dobi saya. Semuanya sampai dengan selamat.” balas gadis manis itu.

“Aku tak mahu! Aku nak baju-baju aku! Kau balik ke kedai kau sekarang juga Darissa!”

“Hey, Encik Putra! Kedai saya dah tutuplah! Tak faham bahasa lagi ke? Gilalah mamat berlagak kaya ini! Lantak kaulah. Malas aku nak layan.” Gadis bernama Darissa itu terus memadamkan panggilan telefon itu. Gadis itu malas mahu faham masalah yang dihadapi Putra. Yang pasti waktu kerjanya sudah tamat dan dia harus pulang ke rumah segera.

“Hey! Darissa! Darissa!” Putra hilang peluang mahu menjerit kepada gadis itu. Kalau dia tahu di mana rumah gadis itu, memang dia kejar sampai ke rumah.

“Mamat berlagak kaya? Dia gelarkan aku Mamat Berlagak Kaya? Tidak nampak lagi ke, aku memang betul-betul kaya?” gerutu Putra kegeraman bersama otak ligat berfikir macam mana dia nak dapatkan baju-bajunya itu.

BUKU NOVEL

UTK PEMBELIAN, https://www.wasap.my/60149356453/KeluargaTuanNilam 

#promoteaser #bestsellernovel  #wattpad #ebookmelayubest #ebooktiktok

#fyppppppppppppppppppp #fyppage #missnas #ebook #novel #novelromance #novelcinta #novelmelayu #ebookcinta #cinta #romance #teaser #wattpadrecommendation #bestseller #fypppppppppppppppppppppp #promoebook #promoteaser #bestsellernovel #bestsellerebook #wattpad #ebookmelayubest #fyp #ebooktiktok",https://www.facebook.com/groups/561968660665263/posts/3079176608944443/,,,neutral,1779702236,0,0,0,0,0.0,0,0.0,,
facebook,post,1575610607904036,"ASSALAMUALAIKUM 
saya ada terjumpa sebentuk cincin emas dihadapan kedai anjung selera bandar pusat….kedai dah tutup harini bole dtg tuntut esok sebelom pukul 3 ptg …berserta gmbr cincin yg hilang😊

Siapa yg ada kehilangan,sila Pm saya.",https://www.facebook.com/groups/376823521116090/posts/1575610607904036/,,,neutral,1774858973,0,0,0,0,0.0,0,0.0,,
facebook,post,1351900226443718,"Assalamualaikum. Kedai makan saya dah tutup. Saya dalam process melepas kan semua barang2 yg tidak di perlukan lg

Meja makan
Rak2
Pemanas air berjaya
Meja cashier
Chiller air 1 pintu
Stall 
Pinggan cawan
Dan lain2

Area nilai
Berminat boleh whatsapp sy

0173078217",https://www.facebook.com/groups/businessuntukdijual/posts/1351900226443718/,,,neutral,1780028743,0,0,0,0,0.0,0,0.0,,
facebook,comment,Y29tbWVudDoxMzUxOTAwMjI2NDQzNzE4XzEzNTIxNTUyNzY0MTgyMTM=,Nak chiller,,https://www.facebook.com/groups/businessuntukdijual/posts/1351900226443718/,1351900226443718,neutral,2026-05-29T11:58:33.000Z,0,0,1,0,0.0,2,,Syed M Faizal,0.0
facebook,comment,Y29tbWVudDoxMzUxOTAwMjI2NDQzNzE4XzEzNTE5MDQ1MDMxMDk5NTc=,"Wasap gambar meja kerusi
014-9299552",,https://www.facebook.com/groups/businessuntukdijual/posts/1351900226443718/,1351900226443718,neutral,2026-05-29T04:33:39.000Z,0,0,1,0,0.0,2,,Mogan Karunanithi,0.0
facebook,post,976701281659466,"Kadang2 saya terpikir kenapa bukak kedai makan ni, dah la jual murah, tapi bila tgk orang dtg bawak family dinner , kumpul ramai2, bill x sampai pun RM100 , kebahagian buat kami, bila tgk anak yg baru dapat gaji bawa mak ayah makan di kedai kami, hati jadi tenang

kami tak kejar untung besar, cost harga skrg pun nak nangis , cukup laa dpat sediakan makanan yang sedap pada harga yg mampu dinikmati ramai. Kerana kami percaya, rezeki itu urusan Allah

Kalau lalu area sini, singgah lah makan di sini😍
Today special: nasi tomato🍅 

📍 Che Yatie Langkawi
(D Bendang Ulu Melaka, Langkawi ; sebaris Mujibur, kedai sate & burger)

Google / Waze: Che Yatie Langkawi
⏰12:00pm - 7:00pm (Tutup setiap Isnin)
☎️019-8730556",https://www.facebook.com/groups/658350910161173/posts/976701281659466/,,,neutral,1780964422,0,0,0,0,0.0,0,0.0,,
facebook,comment,Y29tbWVudDo5NzY3MDEyODE2NTk0NjZfOTc2NzA2MzM4MzI1NjI3,,,https://www.facebook.com/groups/658350910161173/posts/976701281659466/,976701281659466,neutral,2026-06-09T00:30:23.000Z,1,0,1,0,0.0,3,,Jess Wong Poh Ju,0.0
facebook,comment,Y29tbWVudDo5NzY3MDEyODE2NTk0NjZfOTc2NzAxODc4MzI2MDcz,,,https://www.facebook.com/groups/658350910161173/posts/976701281659466/,976701281659466,neutral,2026-06-09T00:21:20.000Z,0,0,0,0,0.0,0,,Che Yatie,0.0
facebook,comment,Y29tbWVudDo5NzY3MDEyODE2NTk0NjZfOTc2NzAxODExNjU5NDEz,,,https://www.facebook.com/groups/658350910161173/posts/976701281659466/,976701281659466,neutral,2026-06-09T00:21:11.000Z,0,0,0,0,0.0,0,,Che Yatie,0.0
facebook,comment,Y29tbWVudDo5NzY3MDEyODE2NTk0NjZfOTc2NzAxNjQxNjU5NDMw,,,https://www.facebook.com/groups/658350910161173/posts/976701281659466/,976701281659466,neutral,2026-06-09T00:21:00.000Z,0,0,0,0,0.0,0,,Che Yatie,0.0
facebook,comment,Y29tbWVudDo5NzY3MDEyODE2NTk0NjZfOTc2NzAxNTc0OTkyNzcw,,,https://www.facebook.com/groups/658350910161173/posts/976701281659466/,976701281659466,neutral,2026-06-09T00:20:48.000Z,0,0,0,0,0.0,0,,Che Yatie,0.0
facebook,post,2520860188334864,"Kadang2 saya terpikir kenapa bukak kedai makan ni, dah la jual murah, tapi bila tgk orang dtg bawak family dinner , kumpul ramai2, bill x sampai pun RM100 , kebahagian buat kami, bila tgk anak yg baru dapat gaji bawa mak ayah makan di kedai kami, hati jadi tenang

kami tak kejar untung besar, cost harga skrg pun nak nangis , cukup laa dpat sediakan makanan yang sedap pada harga yg mampu dinikmati ramai. Kerana kami percaya, rezeki itu urusan Allah

Kalau lalu area sini, singgah lah makan di sini😍
Today special: nasi tomato🍅 

📍 Che Yatie Langkawi
(D Bendang Ulu Melaka, Langkawi ; sebaris Mujibur, kedai sate & burger)

Google / Waze: Che Yatie Langkawi
⏰12:00pm - 7:00pm (Tutup setiap Isnin)
☎️019-8730556",https://www.facebook.com/groups/270386353382270/posts/2520860188334864/,,,neutral,1780964611,0,0,0,0,0.0,0,0.0,,
facebook,post,1294585529535652,"Soalan: 

Kedai makan saya kena kompaun RM3000 oleh KKM. Saya diberi masa 30 hari untuk bayar. 

Saya dah emel melalui saluran SPAB tapi Unit Inspektorat masih cakap saya bersalah walaupun saya dah sertakan bukti CCTV. dia tak nak buka video tu. saya beritahu dia limit muatnaik dalam sistem cuma 10mb.

Saya tak nak bayar dan saya nak dispute. 
1. Macam mana nak dispute? 
2. perlu tunggu 30 hari atau bayar dulu lepas tu dispute?

Saya nak dispute sebab saya ada bukti rakaman CCTV. macam mana saya boleh lulus semakan PBT tetapi gagal semakan KKM? ada sink trap. setiap hari sebelum tutup kedai memang saya mop lantai dengan bleach. saya ada Notis Larangan Merokok spek KKM lagi.",https://www.facebook.com/groups/927586552902220/posts/1294585529535652/,,,neutral,1777303737,0,0,0,0,0.0,0,0.0,,
