Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
facebook,post,1381526473506112,Alhamdulillah baru siap tutup kedai,https://www.facebook.com/groups/819623109696454/posts/1381526473506112/,,,neutral,1780498895,0,0,0,0,0.0,0,0.0,,
facebook,comment,Y29tbWVudDoxMzgxNTI2NDczNTA2MTEyXzEzODE1MjkyMzAxNzI1MDM=,Alhamdulillah,,https://www.facebook.com/groups/819623109696454/posts/1381526473506112/,1381526473506112,neutral,2026-06-03T15:05:23.000Z,0,0,0,0,0.0,0,,Nora Azieniey,0.0
facebook,post,1416623580495009,"Item NEW dengan harga berpatutan pada harga bermula RM560.80/gm FREE UPAH 🔥(kecuali selected item)
Bigg Happy HOURRR BERMULA JAM 10.00AM - 6.00PM (TUTUP KEDAI)

Super Promosi Hebat COTI SEKOLAH 2026 🗓 KHAMIS | 4.6.26 Dapatkan tawaran Terhebat

Dapatkan tawaran Trade-In dan Buy-Back istimewa. Harga ini sah hanya untuk hari ini! 🎉💸

VSS Trade-In TERTINGGI 🚀
🎉 Goldbar RM575/gm
🎉 Emas 10 RM554/gm

Item popular 🔥🔥🔥 readyyyy dalam dulang merah.
✨️ Item Viral
✨️ Item Trending
✨️ Item Eksklusif

Seruan untuk Trade-In Tertinggi dan Buy-Back Tertinggi  ‼️ 🚀

Emas lama, rosak, atau patah? Kami beli pada kadar tertinggi! 💸💸💸
📍 Emas Nikpa Dungun https://maps.app.goo.gl/2CohfBbCbDWdE4jk7

🕙 Waktu Operasi: 10.00 Pagi - 6.00 Petang.
Buka setiap hari kecuali Jumaat (Tutup).

📲 WhatsApp SEKARANG:
Admin Nomy — wasap.my/601160686564
Admin Chik — wasap.my/60199589916
Host Yunie — wasap.my/60168059166
Host Fara — wasap.my/60163229166
Host Ziera — wasap.my/60163199161",https://www.facebook.com/groups/806701794820527/posts/1416623580495009/,,,neutral,1780533566,0,0,0,0,0.0,0,0.0,,
facebook,post,1944267942863887,Salam nak tya area tanjung malim ada x yg tahu kat mana nk baiki van hiace belting putus...dah 7 jam tersadai tepi jln...mlm byk kedai tutup...kena tggu esok jugak...tq,https://www.facebook.com/groups/hiacemalaysiagroup/posts/1944267942863887/,,,neutral,1777040754,0,0,0,0,0.0,0,0.0,,
facebook,comment,Y29tbWVudDoxOTQ0MjY3OTQyODYzODg3XzE5NDQyNzU2MDk1Mjk3ODc=,Aku ada pengalaman mcm ko.. pelan² aku drive sambil tgk temperature.. kalau naik je aku stop.. sampai jumpa bengkel... Tapi Mase drive tu mmg xde aircond la...,,https://www.facebook.com/groups/hiacemalaysiagroup/posts/1944267942863887/,1944267942863887,neutral,2026-04-24T14:37:17.000Z,2,0,7,0,0.0,16,,Hambali M Kafiah,0.0
facebook,comment,Y29tbWVudDoxOTQ0MjY3OTQyODYzODg3XzE5NDU4MDk5OTkzNzYzNDg=,Ini pernah kena time berjln...rupanya benda ni bila ada rasa bunyi tu belting jgn biarkan tak ganti...sbb bila bila masa bole putus..jdi lose bole naik panas engine,,https://www.facebook.com/groups/hiacemalaysiagroup/posts/1944267942863887/,1944267942863887,neutral,2026-04-26T11:45:02.000Z,0,0,3,0,0.0,6,,Unduk Rashid,0.0
facebook,comment,Y29tbWVudDoxOTQ0MjY3OTQyODYzODg3XzE5NDQyOTQzNzYxOTQ1Nzc=,Kdh 200 ka van china,,https://www.facebook.com/groups/hiacemalaysiagroup/posts/1944267942863887/,1944267942863887,neutral,2026-04-24T15:08:19.000Z,1,0,1,0,0.0,3,,Aranni travel & transport,0.0
facebook,comment,Y29tbWVudDoxOTQ0MjY3OTQyODYzODg3XzE5NDQyODM5OTYxOTU2MTU=,belting ja ni...kalau timing belt putus turun enjin la..,,https://www.facebook.com/groups/hiacemalaysiagroup/posts/1944267942863887/,1944267942863887,neutral,2026-04-24T14:51:28.000Z,1,0,1,0,0.0,3,,Lan Styloo,0.0
facebook,comment,Y29tbWVudDoxOTQ0MjY3OTQyODYzODg3XzE5NDQyODI5NDk1MjkwNTM=,Belting ni kena simpan dlm van.. Saya pernah kena... Nasib ada simpan.. Kalau tak senasib jugak.. Kot mana pon kena simpan dlm kereta buat simpanan,,https://www.facebook.com/groups/hiacemalaysiagroup/posts/1944267942863887/,1944267942863887,neutral,2026-04-24T14:49:37.000Z,0,0,1,0,0.0,2,,Marzuki Parut,0.0
facebook,comment,Y29tbWVudDoxOTQ0MjY3OTQyODYzODg3XzE5NDQzOTM5MDI4NTEyOTE=,Dah selesai ker belum tuan?,,https://www.facebook.com/groups/hiacemalaysiagroup/posts/1944267942863887/,1944267942863887,neutral,2026-04-24T17:42:25.000Z,1,0,1,0,0.0,3,,Kidszone,0.0
