Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
facebook,post,1335828918643413,"PAS UTAMAKAN PENYATUAN UMMAH

Oleh: Fadhli Shaari
Ketua Penerangan PAS Pusat

1. PAS tidak mengambil keputusan berdasarkan sentimen atau kepentingan jangka pendek, sebaliknya berdasarkan penilaian terhadap kemampuan sesuatu kerjasama untuk mencapai matlamat yang lebih besar iaitu penyatuan ummah dan kestabilan politik negara. Ia bukan menggembirakan tetapi ia ubat pahit yang perlu ditelan demi kemaslahatan yang lebih besar.

2. Perkara yang paling utama bagi PAS ialah penyatuan ummah. Apabila BERSATU di dalam Mesyuarat Majlis Tertinggi Perikatan Nasional mengambil sikap menentang kemasukan parti-parti seperti BERJASA, PEJUANG, IMAN dan PUTRA walaupun kertas cadangan sudah disiapkan, tindakan tersebut jelas merosakkan gagasan penyatuan yang dihasratkan selama ini.

3. Ditambah pula dengan kronologi sikap BERSATU di Perlis dan Negeri Sembilan, keadaan itu telah menjejaskan moral jentera PAS untuk terus bekerja bersama BERSATU dalam pilihan raya akan datang.

4. Kedudukan PAS dan BERSATU dalam Perikatan Nasional akan diuruskan mengikut peruntukan perlembagaan dan saluran yang sewajarnya. Sudah tentu PAS dan BERSATU tidak boleh terus berada di bawah payung yang sama berikutan keputusan yang dibuat semalam.

https://www.kedahonline.com/2026/06/pas-utamakan-penyatuan-ummah.html",https://www.facebook.com/kedahonline/posts/pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,,,neutral,1780984449,0,0,0,0,0.0,0,0.0,,
facebook,comment,Y29tbWVudDoxMzM1ODI4OTE4NjQzNDEzXzEzMjA4MzAxNTAxNTg5MDU=,"Kami yakin setiap keputusan yg Pas buat tak akan merugikan parti dan melayu islam, yg lama dgn Paa tahu bagaimana Pas bergerak. Tggu dan lihat",,https://www.facebook.com/kedahonline/posts/pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,neutral,2026-06-09T12:52:42.000Z,18,0,9,0,0.0,36,,PHan Fizs,0.0
facebook,comment,Y29tbWVudDoxMzM1ODI4OTE4NjQzNDEzXzE0OTAzMjM1ODI3NzI3MDc=,"Benda diulang2 lama2 orang percaya...ubah kepada benda diulang2 kemudian dilaksanakan, barulah orang percaya.",,https://www.facebook.com/kedahonline/posts/pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,neutral,2026-06-09T23:36:26.000Z,2,0,0,0,0.0,2,,Amine Alkoxide,0.0
facebook,comment,Y29tbWVudDoxMzM1ODI4OTE4NjQzNDEzXzE1Mzc0NTQ4ODQ3NzI5Mjk=,Habis geng parti bersatu bkn ummah ka..awat depa tu hantu ka bingai,,https://www.facebook.com/kedahonline/posts/pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,neutral,2026-06-09T12:27:02.000Z,7,0,1,0,0.0,9,,Ahmad Shukri,0.0
facebook,comment,Y29tbWVudDoxMzM1ODI4OTE4NjQzNDEzXzE1OTk1MDM1MTUxNzM1MDQ=,Penyatuan giler kuasa Dan pangkat🤣🤣🤣,,https://www.facebook.com/kedahonline/posts/pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,neutral,2026-06-09T12:38:03.000Z,11,0,1,0,0.0,13,,Tok Janggut,0.0
facebook,comment,Y29tbWVudDoxMzM1ODI4OTE4NjQzNDEzXzEwMDAzNjkyNzkwMjM0MzI=,"BENARKAH BERSATU MENGHALANG USAHA PENYATUAN YANG LEBIH BESAR?

Susulan keputusan PAS untuk menamatkan kerjasama politik dengan BERSATU, beberapa kenyataan telah dibuat yang mengaitkan keputusan tersebut dengan dakwaan bahawa BERSATU menjadi penghalang kepada usaha memperluaskan kerjasama politik dan agenda penyatuan yang lebih besar.

Perkara tersebut tidak benar.

Saya ingin berkongsi beberapa fakta yang boleh disemak oleh semua pihak berdasarkan kenyataan media rasmi Perikatan Nasional yang dikeluarkan pada 16 Mei dan 17 Mei 2026.

Untuk rekod, Mesyuarat Majlis Tertinggi Perikatan Nasional pada 16 Mei 2026 telah memutuskan secara prinsip untuk menerima kerjasama pilihan raya (electoral pact) dengan parti-parti yang mempunyai keserasian perjuangan dan kepentingan bersama dengan PN.

Keesokan harinya, pada 17 Mei 2026, Perikatan Nasional sekali lagi mengeluarkan kenyataan media rasmi yang menegaskan kesediaan untuk meneroka bentuk-bentuk kerjasama tersebut. Pada masa yang sama, sebuah Jawatankuasa Khas turut dipersetujui bagi memperincikan terma dan syarat kerjasama berkenaan, yang dipengerusikan oleh YAB Dato' Seri Ir. Dr. Ahmad Samsuri Mokhtar selaku Pengerusi PN ketika itu.

Kedua-dua kenyataan media rasmi tersebut menunjukkan bahawa usaha untuk membincangkan dan meneroka kerjasama politik yang lebih luas sememangnya telah dipersetujui dan digerakkan di peringkat kepimpinan tertinggi PN.

PAS telah membuat keputusan dan kita menghormati pendirian tersebut. Saya percaya setiap yang berlaku mempunyai hikmahnya tersendiri. Saya ingin merakamkan penghargaan dan terima kasih kepada seluruh pimpinan, ahli serta penyokong PAS atas kerjasama yang telah terjalin sepanjang tempoh bersama dalam Perikatan Nasional.

Fokus kami kini adalah untuk terus memperkukuh Perikatan Nasional sebagai wadah yang kuat, stabil dan berprinsip dalam memperjuangkan kepentingan rakyat serta masa depan negara.

Takdir Allah SWT mengatasi segala perancangan manusia. Saya mendoakan agar segala kekusutan yang timbul dapat diselesaikan dengan baik, penuh hikmah dan semangat ukhuwah. Mudah-mudahan apa jua yang berlaku akhirnya membawa manfaat kepada orang Melayu, umat Islam serta seluruh rakyat Malaysia.

#PerikatanNasional
#BERSATU",,https://www.facebook.com/kedahonline/posts/pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,neutral,2026-06-09T08:02:49.000Z,3,0,0,0,0.0,3,,Mohd Fahim Mohd Farid,0.0
facebook,comment,Y29tbWVudDoxMzM1ODI4OTE4NjQzNDEzXzIwODMxMTY0MDkyODQ2NDc=,Cerai semalam...Harini bercakap penyatuan ummah 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,,https://www.facebook.com/kedahonline/posts/pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,neutral,2026-06-09T14:08:43.000Z,8,0,0,0,0.0,8,,Db Adibi,0.0
facebook,comment,Y29tbWVudDoxMzM1ODI4OTE4NjQzNDEzXzk4MTczNTg3MTQxNjA2OQ==,"Hahahaha...izinkan aku gelak dulu. Menista para sahabat Nabi tak rugikan Islam pada pandangan non Muslim? Berbunuh bunuh sesama Melayu Islam kerana Amanat Hadi dlm kes Memali tak merugikan ke? Cukup 2 dulu. Berbaris kalau nak ditulis. OTAK dan akal milik kita, jangan pajakkan kpd mana2 pemimpin. Berkata benarkah Tanpa mengira parti, bangsa dan agama.",,https://www.facebook.com/kedahonline/posts/pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,neutral,2026-06-10T05:15:05.000Z,2,0,0,0,0.0,2,,Mohd Nasir Bin Alias,0.0
facebook,comment,Y29tbWVudDoxMzM1ODI4OTE4NjQzNDEzXzI3MDE0NTIwNzY0ODc2MDI1,Mengkafirkan sesama Islam utk penyatuan ummah ke?,,https://www.facebook.com/kedahonline/posts/pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,neutral,2026-06-09T16:12:15.000Z,4,0,0,0,0.0,4,,Mohd Nazeri Bin Ghazalli,0.0
facebook,comment,Y29tbWVudDoxMzM1ODI4OTE4NjQzNDEzXzI3Mjk5NzIzMzE2MzQ1MzEy,Bobelah bercakap pernyatuan umah jika yang sudah bersama pun diputuskan.,,https://www.facebook.com/kedahonline/posts/pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,pfbid02A2TikGnq6L3EDxzcKRxHUzAUhgAit4iKu16qMEFXMvkqMoD9Sf7XiAPeoj7XQ2nfl,neutral,2026-06-09T22:49:21.000Z,2,0,0,0,0.0,2,,Hassan Mamat Hassan Chempaka,0.0
