Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
facebook,post,1463331942498618,Apa kata bangsa Johor PRN Johor 😎,https://www.facebook.com/reel/1024650690115439/,,,neutral,2026-06-19T08:32:05+00:00,0,0,358,0,0.0,358,1074.0,,
facebook,post,1011916865093109,"Alhamdulillah. Selesai Pelancaran Jentera Pilihanraya PAS Kawasan Mersing semalam.

InsyaAllah, apa jua keputusan kami bersedia untuk berhadapan dengan Pilihanraya Negeri Johor (PRN) tidak lama lagi.

#PasMersing #PasJohor #PRNJohor #MersingSejahtera",https://www.facebook.com/reel/1400217428603133/,,,neutral,2026-06-07T01:11:05+00:00,0,0,46,0,0.0,46,138.0,,
facebook,post,10243662955535100,"KOMPLEKS PAS JOHOR - PROGRESS FASA AWAL 

Dalam perjalanan ke Parit Sulong, teringatkan kompleks PAS Johor yang dah mulakan fasa awal pembinaan.

Alhamdulillah, dah berjalan dengan lancar sejak dimulakan pada 9 Januari 2026.

Pemasangan pagar keselamatan juga sedang dirancang bagi menjaga aspek keselamatan kawasan projek.

Orang ramai yang berhasrat untuk menyumbang digalakkan tampil bersama sama menyokong usaha ini sebagai sebahagian daripada tanggungjawab dan kebersamaan dalam menjayakan perjuangan Islam di Johor.

Butiran Sumbangan Derma

Nama Bank
Bank Islam Malaysia Berhad

Nama Akaun
Parti Islam SeMalaysia Cawangan Perhubungan PAS Negeri Johor

Nombor Akaun
0104 1010 0600 24

Sumbangan juga boleh disalurkan melalui imbasan kod DuitNow QR seperti yang tertera pada poster.

Projek ini di bawah Dr Mohd Mazri Yahya, Timbalan Pesuruhjaya PAS Johor merangkap Pengerusi JK Kompleks PAS Johor

KFAK",https://www.facebook.com/khairul.faizi1/posts/pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,,,neutral,2026-01-20T08:24:55+00:00,0,0,20,0,0.0,20,60.0,,
facebook,comment,Y29tbWVudDoxMDI0MzY2Mjk1NTUzNTEwMF8xNzk4NjY1MDcwOTg4NjIy,Klu perlukan Sebut Harga Piling Work bgtau dehhhhh,,https://www.facebook.com/khairul.faizi1/posts/pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,neutral,2026-01-20T08:59:24.000Z,2,0,2,0,0.0,6,,Mohd Nakhaie Naka Nakhaie,0.0
facebook,comment,Y29tbWVudDoxMDI0MzY2Mjk1NTUzNTEwMF8xNjExNjU1Mjc2NjcyNDYx,"Tksh,balik kg nt bolih pergi",,https://www.facebook.com/khairul.faizi1/posts/pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,neutral,2026-01-20T15:43:51.000Z,1,0,1,0,0.0,3,,Zulkifly Md Norashid,0.0
facebook,comment,Y29tbWVudDoxMDI0MzY2Mjk1NTUzNTEwMF8xMjE4MzcyOTM3MDk2NzI4,InshaAllah Komplek PAS Johor akan menjadi kenyataan nanti.,,https://www.facebook.com/khairul.faizi1/posts/pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,neutral,2026-01-20T12:28:49.000Z,1,0,1,0,0.0,3,,Jasni Maslan,0.0
facebook,comment,Y29tbWVudDoxMDI0MzY2Mjk1NTUzNTEwMF8yMDkwNjE5MzgxNzA1MTQz,"Air hitam sebelah mana,nk lawat",,https://www.facebook.com/khairul.faizi1/posts/pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,neutral,2026-01-20T10:20:00.000Z,1,0,1,0,0.0,3,,Zulkifly Md Norashid,0.0
facebook,comment,Y29tbWVudDoxMDI0MzY2Mjk1NTUzNTEwMF84ODc1MzQ2MDM2NDY3MDg=,Kemaih pada Kompas Kedah lg pa,,https://www.facebook.com/khairul.faizi1/posts/pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,neutral,2026-01-21T05:14:59.000Z,0,0,0,0,0.0,0,,Nazif Lazim,0.0
facebook,comment,Y29tbWVudDoxMDI0MzY2Mjk1NTUzNTEwMF84ODMyNDg2Mjc4Mjk4Nzg=,Terbaik,,https://www.facebook.com/khairul.faizi1/posts/pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,neutral,2026-01-21T04:12:16.000Z,0,0,0,0,0.0,0,,Mahusin Seman,0.0
facebook,comment,Y29tbWVudDoxMDI0MzY2Mjk1NTUzNTEwMF84MzM5ODM4MzI5NzY2MTQ=,Semoga dipermudahkan Allah SWT semua urusan,,https://www.facebook.com/khairul.faizi1/posts/pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,pfbid028JybfhYTGBqZFU1KAL9eFCUhKjxozohTUDZdfMxiEri9SaEZ9szPWgEE9L1dsYrKl,neutral,2026-01-21T00:19:02.000Z,1,0,1,0,0.0,3,,Mohd Amin,0.0
