Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
instagram,post,3922905623364179375,"Full of revelations and REALIZATIONS ang EP 2 ah! Wag nang magpahuli and watch #DAP on Viva One!

Don't miss EPISODE 2 of ‘DATING ALYS PEREZ’ now streaming only on Viva One: https://share.vivaone.ph/DatingAlysPerezFb

#DAPUnexpectedReunion
#DatingAlysPerez
#StudioViva #VivaOne",https://www.instagram.com/p/DZw9eFIARWv/,,,neutral,2026-06-19T11:00:14+00:00,194,0,6,0,0.0,200,212.0,,
instagram,comment,18208606219349479,ayaw kasi ni drake ng ganun.. na sa kanya nalang umiikot mundo ni Alys.. gusto nya umangat si Alys sa sarili nyang paraan kahit kapalit nun eh maging villain sya sa mga mata ni Alys.. unlike Tripp na manipulator and traitor! gusto magmukhang knight and shining armor palagi for Alys para maging dependent si Alys sa kanya.. pano matuto si Alys kung ganun..,,https://www.instagram.com/p/DZw9eFIARWv/,DZw9eFIARWv,neutral,2026-06-19T14:48:28.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18091162847099575,@angela_muji ❤️❤️,,https://www.instagram.com/p/DZw9eFIARWv/,DZw9eFIARWv,neutral,2026-06-19T12:55:34.000Z,0,0,0,0,0.0,0,,,0.0
instagram,post,3922699115256013273,"😻👩‍❤️‍👨

#rabinangeles 
#angelamuji 
#rabgel 
#dap 
#fyp 

@angela_muji 
@rabinangeles_",https://www.instagram.com/p/DZwOg_dkuHZ/,,,neutral,2026-06-19T04:09:56+00:00,145,0,0,0,0.0,145,145.0,,
instagram,comment,18379988533165113,❤️❤️❤️❤️❤️❤️❤️,,https://www.instagram.com/p/DZwOg_dkuHZ/,DZwOg_dkuHZ,neutral,2026-06-19T12:55:04.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17933037363277947,AYIEEEEE😍😍😍,,https://www.instagram.com/p/DZwOg_dkuHZ/,DZwOg_dkuHZ,neutral,2026-06-19T12:44:23.000Z,0,0,0,0,0.0,0,,,0.0
instagram,post,3922979636146256076,"Johor Polls: DAP Fields Local Candidate Chu Poh Yee for Mengkibol State Seat: KLUANG: Pakatan Harapan (PH) has officially named DAP Johor publicity secretary Chu Poh Yee as its candidate for the Mengkibol state seat in the upcoming Johor state election. The announcement was made by DAP secretary-general Anthony Loke Siew Fook during a special event held along Jalan Ismail here tonight. Anthony said the 33-year-old candidate was …

The post Johor Polls: DAP Fields Local Candidate Chu Poh Yee for Mengkibol State Seat first appeared on Wilayah.com.my. #Johor #DAP #PilihanRaya #Mengkibol #PakatanHarapan",https://www.instagram.com/p/DZxOTG5lrjM/,,,neutral,2026-06-19T13:28:16+00:00,111,0,0,0,0.0,111,111.0,,
instagram,comment,18403197730154057,❤️❤️😍,,https://www.instagram.com/p/DZxOTG5lrjM/,DZxOTG5lrjM,neutral,2026-06-19T11:48:44.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17980386333032132,Frr❤️,,https://www.instagram.com/p/DZxOTG5lrjM/,DZxOTG5lrjM,neutral,2026-06-19T11:25:06.000Z,0,0,0,0,0.0,0,,,0.0
instagram,post,3923043636200225501,"Sesi perjumpaan bersama Sdr @scheekeong dengan anggota DAP Melaka 🔥

Berkongsi pandangan, menyuntik semangat dan memperkukuh tekad demi terus berkhidmat kepada rakyat serta memperjuangkan masa depan yang lebih baik buat Malaysia💪

沈志强同志来到马六甲，与民主行动党党员交流互动，分享经验与理念，为继续服务人民、建设更美好的马来西亚注入新的动力。🚀

#DAP #Melaka",https://www.instagram.com/p/DZxc2bmEjrd/,,,neutral,2026-06-19T15:34:26+00:00,62,0,0,0,0.0,62,62.0,,
