Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
instagram,post,3804489811257175107,"Agak-agak, esok keluar berita apa pulak? 

#politikmalaysia #muhyiddin #umno #bersatu #kerajaanperpaduan",https://www.instagram.com/p/DTMQ1OHk6xD/,,,neutral,2026-01-07T01:49:09+00:00,1431,0,10,0,0.0,1441,1461.0,,
instagram,comment,17910701769311823,👏👏👏👏👏🙌🔥,,https://www.instagram.com/p/DTMQ1OHk6xD/,DTMQ1OHk6xD,neutral,2026-02-10T01:44:26+00:00,0,0,0,0,0.0,0,,,0.0
instagram,comment,18065525201192621,"Harika….
🤍🤍🤍🐞🦋🦋🦋",,https://www.instagram.com/p/DTMQ1OHk6xD/,DTMQ1OHk6xD,neutral,2025-12-28T11:38:30+00:00,0,0,0,0,0.0,0,,,0.0
instagram,comment,18080518100269756,Canım Tuğba’m ❤️,,https://www.instagram.com/p/DTMQ1OHk6xD/,DTMQ1OHk6xD,neutral,2025-12-27T20:52:06+00:00,0,0,0,0,0.0,0,,,0.0
instagram,comment,18088908925833658,❤️🌹,,https://www.instagram.com/p/DTMQ1OHk6xD/,DTMQ1OHk6xD,neutral,2025-12-27T20:33:12+00:00,0,0,0,0,0.0,0,,,0.0
instagram,comment,17854058880555000,Canım Tuğba'm iyiki o denizde kavuşmak bana da nasip oldu🫂 Yolun güzelliklerle dolsun❤️,,https://www.instagram.com/p/DTMQ1OHk6xD/,DTMQ1OHk6xD,neutral,2025-12-27T20:23:14+00:00,0,0,0,0,0.0,0,,,0.0
instagram,post,3822115944555397500,"Pembatalan mesyuarat Majlis Tertinggi Perikatan Nasional (PN) pada saat-saat akhir bukan sekadar isu teknikal jadual atau logistik, sebaliknya mencerminkan episod kritikal dalam krisis pergelutan kuasa gabungan pembangkang itu.

Anda boleh baca berita penuh di portal Sinar Harian di www.sinarharian.com.my atau swipe up di IG story serta jangan lupa follow IG @sinarharian untuk berita terkini dalam dan luar negara.

#SinarHarian #SinarTerkini  #muhyiddin #Pas #krisis",https://www.instagram.com/p/DUK4jN9lMF8/,,,neutral,2026-01-31T09:29:08+00:00,269,0,48,0,0.0,317,413.0,,
instagram,comment,18081097886604564,Kalau salah siasat seadilnya pastu hukum. Tp jgn la undang2 mas hanya terpakai kpd org yg x sebulu ja. Yg sebulu buta ja lepas. 2026 dh ni,,https://www.instagram.com/p/DUK4jN9lMF8/,DUK4jN9lMF8,neutral,2026-03-10T03:57:30+00:00,0,0,0,0,0.0,0,,,0.0
instagram,comment,18096330122053040,Klik pautan di IG Story atau layari www.buletintv3.my untuk berita penuh.,,https://www.instagram.com/p/DUK4jN9lMF8/,DUK4jN9lMF8,neutral,2026-03-10T03:27:09+00:00,0,0,0,0,0.0,0,,,0.0
instagram,comment,17887970313288204,parti sendiri pun tunggang tebalik ada hati nk jadi kerajaan,,https://www.instagram.com/p/DUK4jN9lMF8/,DUK4jN9lMF8,neutral,2025-12-30T03:40:58+00:00,0,0,0,0,0.0,0,,,0.0
instagram,comment,17852899422606991,Ddk diam2 dlm umah..byk kan amalan..,,https://www.instagram.com/p/DUK4jN9lMF8/,DUK4jN9lMF8,neutral,2025-12-30T03:34:37+00:00,0,0,0,0,0.0,0,,,0.0
instagram,comment,18033046082772507,Bagi yg muda2 lah.... Dah kenyang... Patut lah isu rakyat buat bodoh je.... Telur dah kena picit,,https://www.instagram.com/p/DUK4jN9lMF8/,DUK4jN9lMF8,neutral,2025-12-30T02:10:14+00:00,0,0,0,0,0.0,0,,,0.0
instagram,post,3798663512504638566,"Presiden BERSATU, Tan Sri Muhyiddin Yassin mengumumkan pengunduran diri sebagai Pengerusi Perikatan Nasional (PN) malam tadi.

Peletakan itu turut disahkan Setiausaha Agung BERSATU, Datuk Seri Mohamed Azmin Ali serta Ketua Penerangan parti, Datuk Tun Faisal Ismail Aziz.

Sumber: Berita Harian #ohbulan #muhyiddin #letak #jawatan",https://www.instagram.com/p/DS3kFakE5xm/,,,neutral,2025-12-30T00:53:20+00:00,356,0,15,0,0.0,371,401.0,,
instagram,comment,18067518422414611,Terpaksa atau dipaksa,,https://www.instagram.com/p/DS3kFakE5xm/,DS3kFakE5xm,neutral,2025-12-30T02:06:34+00:00,0,0,0,0,0.0,0,,,0.0
