Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
instagram,post,3912412994798661495,"Assalamualaikum warahmatullahi wabarakatuh selamat pagi semua saudaraku 🙏🥰 
#persiapandefile
#bertanding
#Fbpro",https://www.instagram.com/p/DZLruPRmK93/,,,neutral,2026-06-04T23:33:15.000Z,0,0,0,0,0.0,0,0.0,,
instagram,post,3907732974405749113,"29.05.2026.

#belajar 
#berlatih 
#bertanding 
#berprestasi",https://www.instagram.com/p/DY7Dm-oiQl5/,,,neutral,2026-05-29T12:34:53.000Z,3,0,0,0,0.0,3,3.0,,
instagram,post,3904045199731033732,"24.05.2026

#belajar 
#berlatih 
#bertanding 
#berprestasi",https://www.instagram.com/p/DYt9Gy1CYaE/,,,neutral,2026-05-24T10:27:56.000Z,5,0,0,0,0.0,5,5.0,,
instagram,post,3897295067146431734,"15.05.2026.

#belajar 
#berlatih 
#bertanding 
#berprestasi",https://www.instagram.com/p/DYV-Tb-JSz2/,,,neutral,2026-05-15T02:56:40.000Z,3,0,0,0,0.0,3,3.0,,
instagram,post,3896900498036956292,"14.05.2026.
Turnamen catur dalam rangka sedekah bumi desa Pekalongan - Winong.
di Resto Kencana Winong.
Nevan Aryo Bimo Dwi Sasongko - Juara 1 dari 21 peserta kategori SMP/MTs campuran.
Awanis Tita Quina - peringkat 7 dari 30 peserta kategori SD/MI campuran.

#belajar
#berlatih 
#bertanding 
#berprestasi",https://www.instagram.com/p/DYUkls2iRyE/,,,neutral,2026-05-14T13:52:41.000Z,5,0,0,0,0.0,5,5.0,,
instagram,post,3893807731647801498,"10.05.2026.

#belajar 
#berlatih 
#bertanding
#berprestasi",https://www.instagram.com/p/DYJlYBsiWia/,,,neutral,2026-05-10T07:28:17.000Z,2,0,0,0,0.0,2,2.0,,
instagram,post,3893749762583942448,Menunggu giliran #bertanding,https://www.instagram.com/p/DYJYMdzE9Uw/,,,neutral,2026-05-10T05:32:44.000Z,0,0,0,0,0.0,0,0.0,,
instagram,post,3893738255342851566,"Aset terbesar untuk anak2 adalah,memberikan ruang utk mereka mengembangkan potensinya dan kreativitasnya.
#Berlatih
#Bermain
#Bertanding
⚽⚽💪",https://www.instagram.com/p/DYJVlA2D1Xu/,,,neutral,2026-05-10T05:09:52.000Z,21,0,0,0,0.0,21,21.0,,
instagram,post,3891721003685139512,"SDN 2 Sukamanah turut berpartisipasi dalam FLS3N pada tanggal 07 Mei 2026, lomba yang diikuti diantaranya gambar bercerita, menyanyi solo, kriya, dan menulis cerita. Semoga meraih hasil terbaik dan mengharumkan nama sekolah.

#fl3sn2026 #lomba #sdn #bertanding",https://www.instagram.com/p/DYCK6I1lFQ4/,,,neutral,2026-05-07T10:21:57.000Z,10,0,0,0,0.0,10,10.0,,
instagram,post,3891535852526474465,"Berlatih, datang dan bertanding
Semangat itu adalah keberhasjlan

#semangat #berlatih #bertanding #ipsibanten  @pb.ipsi  @ipsikotaserang @merpatiputih_serang",https://www.instagram.com/p/DYBgz1YiZTh/,,,neutral,2026-05-07T04:14:05.000Z,4,0,0,0,0.0,4,4.0,,
