Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
instagram,post,3763823902557662192,"Banyak yang masih tukar-tukar antara legalisasi dan legalisir, padahal beda banget fungsi hukumnya!

#legalisasi #legalisir #notaris #perjanjian #perikatan #hukumperikatan",https://www.instagram.com/p/DQ7yeXVEuvw/,,,neutral,2025-11-11T23:13:15+00:00,390,0,8,0,0.0,398,414.0,,
instagram,comment,18058827818106441,🔥🔥🔥🔥🔥,,https://www.instagram.com/p/DQ7yeXVEuvw/,DQ7yeXVEuvw,neutral,2025-09-01T07:12:52+00:00,0,0,0,0,0.0,0,,,0.0
instagram,comment,17944576251019005,MIC they only want to know how much they can earn if they join you,,https://www.instagram.com/p/DQ7yeXVEuvw/,DQ7yeXVEuvw,neutral,2025-09-01T04:05:10+00:00,0,0,0,0,0.0,0,,,0.0
instagram,post,3766883230822242474,"“Jenis-Jenis Perikatan dalam Hukum Perdata”

🤝 Dalam hukum perdata, setiap hubungan hukum antara dua pihak lahir karena adanya perikatan — yaitu hubungan yang menimbulkan hak dan kewajiban antara kreditur dan debitur.

Tapi tahukah kamu?

Tidak semua perikatan itu sama.

KUHPerdata membedakan beberapa jenis perikatan, antara lain:
🔹 Perikatan Bersyarat
🔹 Perikatan dengan Ketetapan Waktu
🔹 Perikatan Alternatif
🔹 Perikatan Tanggung Renteng
🔹 Perikatan Dapat Dibagi dan Tidak Dapat Dibagi
🔹 Perikatan dengan Ancaman Hukuman

Masing-masing punya konsekuensi hukum berbeda — terutama dalam hal tanggung jawab, waktu pemenuhan, dan akibat hukumnya. 📜

📚 Yuk, pahami dasar-dasarnya! Karena memahami perikatan berarti memahami pondasi utama hukum perdata.
—
#PaluHukumIndonesia #PHI #EdukasiHukum #HukumPerdata #KUHPerdata #Perikatan #LegalEducation #HukumIndonesia #BelajarHukum #LawKnowledge #LegalInsight",https://www.instagram.com/p/DRGqFcziRiq/,,,neutral,2025-11-16T04:31:35+00:00,156,0,0,0,0.0,156,156.0,,
instagram,comment,17845391106583037,My undi confirm,,https://www.instagram.com/p/DRGqFcziRiq/,DRGqFcziRiq,neutral,2025-10-06T02:42:38+00:00,0,0,0,0,0.0,0,,,0.0
instagram,comment,18160731298383931,"Iya, betul",,https://www.instagram.com/p/DRGqFcziRiq/,DRGqFcziRiq,neutral,2025-11-12T01:55:05+00:00,0,0,0,0,0.0,0,,,0.0
instagram,post,3767041001228535674,"Perhimpunan Agung MIC yang ke-79 yang ditunggu-tunggu akhirnya memutuskan untuk keluar daripada Barisan Nasional (BN).

Usul agar MIC tinggalkan BN dan mohon scara rasmi untuk sertai Perikatan Nasional (PN) diluluskan sebulat suara oleh perwakilan bersama 2 lagi usul.

Walau bagaimanapun, Timbalan Presidennya Datuk Seri M. Saravanan berkata perwakilan serahkan keputusan akhir kepada Presiden Tan Sri S.A.Vigneswaran dan Jawatankuasa Kerja Pusat (CWC) MIC.

Jadi tumpuan akan terarah kepada mesyuarat CWC akan datang yang akan menentukan masa depan parti kaum India terbesar itu.

📸: MIC 

#AstroAudioNews #MIC #AGMMIC #BN #PN #Perikatan #Barisan",https://www.instagram.com/p/DRHN9T8jwd6/,,,neutral,2025-11-16T09:45:03+00:00,71,0,1,0,0.0,72,74.0,,
instagram,comment,17858713929544697,Karena biasanya mengesahkan nila atau angka yang tertera pada dokumen tersebut misalnya seperti kwitansi ...,,https://www.instagram.com/p/DRHN9T8jwd6/,DRHN9T8jwd6,neutral,2025-11-12T01:35:38+00:00,0,0,0,0,0.0,0,,,0.0
instagram,comment,18081976738865732,"Kalau yang biasa kita bawa ke kantor pos itu misalnya dokumen sperti kwitansi atau tagihan yang belum ada materainya, kemudian dikasih materai tempel dan diberi cap stempel oleh petugas kantor pos dan ditandatangani itu namanya apa? Apakah leges atau legalisasi ?🙏 🤗",,https://www.instagram.com/p/DRHN9T8jwd6/,DRHN9T8jwd6,neutral,2025-11-12T01:34:10+00:00,0,0,0,0,0.0,0,,,0.0
instagram,post,3679851321172479364,"""Pernah baca kontrak, tapi bingung kenapa Anda tetap ditagih padahal bukan Anda yang buat utang?""
Mungkin karena perikatannya tanggung-menanggung.

—

📚 Dalam hukum perdata, perikatan adalah jantung dari setiap hubungan hukum.
Bentuknya bisa macam-macam:
✅ Wajib
✅ Kondisional
✅ Bersyarat waktu
✅ Solidair
✅ Terbagi
✅ Langsung aktif atau tergantung waktu

📌 Dan jika perikatannya disusun dalam dokumen palsu atau tanda tangan dipertanyakan…
Di situlah Grafonomi Indonesia hadir sebagai mitra pembuktian ilmiah Anda.

Pahami jenis perikatan sebelum tanda tangan, bukan setelah gugatan datang.

💬 Baca berita lainnnya di sini: Link artikel

#grafonomi
#perikatan
#hukumperdata
#kontrak
#dokumenforensik
#analisisgrafonomi
#pengacaraindonesia
#saksiahli
#buktihukum
#mitrahukum
#pemalsuantandatangan
#validasidokumen
#praktikhukum
#tandatanganforensik",https://www.instagram.com/p/DMRdUeovM2E/,,,neutral,2025-07-19T02:34:43+00:00,-1,0,14,0,0.0,13,41.0,,
