Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
instagram,post,3917633935073651898,"【#百格快讯】 选委会宣布，柔佛和森美兰州选会分开选！ 

柔佛州选提名日为6月27日，投票日是7月11日。

森美兰州选提名日则定于7月18日，8月1日投票。

两场州选的竞选期同为14天。

#百格 #pocketimes #柔森州选 #柔佛州选 #森美兰州选 #PRNJOHOR #PRNN9",https://www.instagram.com/p/DZeO060FKy6/,,,neutral,2026-06-12T04:26:20+00:00,631,0,2,0,0.0,633,637.0,,
instagram,comment,18155421631418436,Jln terus,,https://www.instagram.com/p/DZeO060FKy6/,DZeO060FKy6,neutral,2026-06-13T04:21:51.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18118422430765792,TERBAIK 👍🏻👍🏻👍🏻,,https://www.instagram.com/p/DZeO060FKy6/,DZeO060FKy6,neutral,2026-06-13T02:54:02.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18068131520382724,👏,,https://www.instagram.com/p/DZeO060FKy6/,DZeO060FKy6,neutral,2026-06-13T02:30:07.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17863800120632653,🔥🔥🔥,,https://www.instagram.com/p/DZeO060FKy6/,DZeO060FKy6,neutral,2026-06-13T02:07:09.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18104112674091358,Lawan ttp lawan,,https://www.instagram.com/p/DZeO060FKy6/,DZeO060FKy6,neutral,2026-06-13T00:41:02.000Z,0,0,0,0,0.0,0,,,0.0
instagram,post,3922277082830581416,"Menjelang Pilihan Raya Negeri (PRN) Negeri Sembilan, timbul desakan daripada sebahagian pemimpin dan akar umbi tempatan supaya kerusi Dewan Undangan Negeri (DUN) Temiang diserahkan semula kepada UMNO bagi meningkatkan peluang Barisan Nasional (BN) merampas kembali kerusi berkenaan.

Sumber memberitahu MalaysiaGazette, sentimen itu semakin kuat kerana ramai berpendapat formula lama perlu dinilai semula selepas beberapa siri kekalahan di kerusi tersebut.

#malaysiagazette
#UMNO
#PRNN9

berita lanjut layari www.malaysiagazette.com",https://www.instagram.com/p/DZuujnIxa6o/,,,neutral,2026-06-18T14:11:31+00:00,208,0,6,0,0.0,214,226.0,,
instagram,comment,18104193122287212,Kita gegar PH di N9🔥 #lawantetaplawan,,https://www.instagram.com/p/DZuujnIxa6o/,DZuujnIxa6o,neutral,2026-06-13T00:03:07.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17953158273175887,👏👏👏,,https://www.instagram.com/p/DZuujnIxa6o/,DZuujnIxa6o,neutral,2026-06-12T23:46:14.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18356956030212888,相隔接近一个月才选。友族们自己想吧。还在睡 未来无望。,,https://www.instagram.com/p/DZuujnIxa6o/,DZuujnIxa6o,neutral,2026-06-12T11:35:37.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17899498842310152,"朋友们，
很明显现在巫统和极端懒叫党已经越走越近了！在这次的柔佛和森州选举让我们一起将它们送回山洞住吧。。。",,https://www.instagram.com/p/DZuujnIxa6o/,DZuujnIxa6o,neutral,2026-06-12T04:28:53.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17986810445259977,Tahniah pakcik✌️✌️,,https://www.instagram.com/p/DZuujnIxa6o/,DZuujnIxa6o,neutral,2023-08-14T14:49:04.000Z,0,0,0,0,0.0,0,,,0.0
