Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
x,post,2068945097715249224,"𝗞𝗘𝗡𝗬𝗔𝗧𝗔𝗔𝗡 𝗠𝗘𝗗𝗜𝗔
22 Jun 2026

𝗕𝗘𝗥𝗦𝗔𝗠𝗔 𝗕𝗘𝗥𝗧𝗔𝗡𝗗𝗜𝗡𝗚 𝗗𝗜 𝟭𝟱 𝗞𝗘𝗥𝗨𝗦𝗜 𝗗𝗔𝗟𝗔𝗠 𝗣𝗥𝗡 𝗝𝗢𝗛𝗢𝗥 𝟮𝟬𝟮𝟲

𝗕𝗘𝗥𝗦𝗔𝗠𝗔  akan bertanding di 15 kerusi dalam Pilihanraya Negeri Johor 2026. 

Kerusi-kerusi yang ini dinilai berdasarkan faktor-faktor berikut:

1)Latar belakang dan kecenderungan pengundi berdasarkan dapatan-dapatan kaji selidik dan data yang telah dijalankan sejak enam bulan yang lepas;

2)Sambutan terhadap 𝗕𝗘𝗥𝗦𝗔𝗠𝗔  setakat ini, berdasarkan keahlian mengikut unit parlimen dan kecenderungan ahli-ahli di kawasan terbabit;

3)Kesesuaian calon-calon dari kalangan perintis 𝗕𝗘𝗥𝗦𝗔𝗠𝗔  di Johor dan calon-calon terbuka yang menawarkan diri untuk bertanding di kerusi-kerusi tersebut;

4)Kemampuan 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 mengendalikan kempen pilihanraya secara berkesan di kerusi-kerusi tersebut.

Berikut adalah senarai kerusi yang akan ditandingi 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 di PRN Johor 2026:

1. DUN Bukit Naning (N14) - penyandang (UMNO)

2. DUN Mahkota (N29) - penyandang (UMNO)

3. DUN Tiram (N40) - penyandang (UMNO)

4. DUN Puteri Wangsa (N41) - penyandang (MUDA)

5. DUN Johor Jaya (N42) - penyandang (DAP)

6. DUN Permas (N43) - penyandang (UMNO)

7. DUN Larkin (N44) - penyandang (UMNO)

8. DUN Stulang (N45) - penyandang (DAP)

9. DUN Perling (N46) - penyandang (DAP)

10. DUN Kempas (N47) - penyandang (UMNO)

11. DUN Skudai (N48) - penyandang (DAP)

12. DUN Kota Iskandar (N49) - penyandang (UMNO)

13. DUN Bukit Permai (N50) - penyandang (UMNO)

14. DUN Bukit Batu (N51) - penyandang (PKR)

15. DUN Senai (N52) - penyandang (DAP)

Calon-calon 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 akan diumumkan pada hari Jumaat ini jam 8 malam di Johor Bahru bersempena dengan pelancaran trak kancil. Tempat pelancaran akan diumumkan kelak.

Ahli-ahli 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 dan orang ramai yang ingin menjadi jentera BERSAMA di 15 kerusi ini boleh mula mendaftarkan diri di https://t.co/6vXmDO7QDX

Sistem ejen undi (PACA) telah dibuka untuk pendaftaran.

Ahli-ahli 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 dan orang ramai yang ingin menjadi PACA boleh lawati
https://t.co/6vXmDO7QDX dan klik “𝗦𝗲𝗿𝘁𝗮𝗶 𝗞𝗲𝗺𝗽𝗲𝗻”.

Dari situ, anda boleh log masuk ke sistem kempen 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 (setelah mendapat OTP) dan melalui proses untuk menjadi PACA. Ini termasuk mengemukakan dokumen-dokumen yang dikehendaki SPR dan melalui latihan.

Sistem kempen bersepadu𝗕𝗘𝗥𝗦𝗔𝗠𝗔 akan mula dibuka esok (Selasa, 23 Jun 2026) yang membolehkan ahli-ahli 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 dan orang ramai dari seluruh negara memilih kempen pilihanraya yang ingin disertai/dibantu mengikut tarikh, masa, lokasi dan jenis-jenis aktiviti.

𝗕𝗘𝗥𝗦𝗔𝗠𝗔 berhasrat untuk merintis kempen pilihanraya moden yang tidak memerlukan perbelanjaan pilihanraya yang besar dengan mengaktifkan seberapa ramai ahlinya dan orang ramai dari seluruh Malaysia membantu kempen 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 di 15 kerusi ini secara sukarela.

Bagi 𝗕𝗘𝗥𝗦𝗔𝗠𝗔, PRN Johor 2026 bukan sahaja medan berebut kerusi dan pangkat untuk orang-orang politik.

Ia peluang untuk merintis budaya politik yang lebih berfokus kepada penyelesaian masalah rakyat dan masa depan negara dan rakyat.

𝟮𝟮 𝗝𝘂𝗻 𝟮𝟬𝟮𝟲
𝘉𝘢𝘨𝘪 𝘱𝘪𝘩𝘢𝘬 𝗕𝗘𝗥𝗦𝗔𝗠𝗔

𝗥𝗮𝗳𝗶𝘇𝗶 𝗥𝗮𝗺𝗹𝗶
𝗡𝗶𝗸 𝗡𝗮𝘇𝗺𝗶 𝗡𝗶𝗸 𝗔𝗵𝗺𝗮𝗱",https://x.com/rafiziramli/status/2068945097715249224,,,neutral,2026-06-22T06:32:05+00:00,886,336,60,90308,0.0,2185,1828.308,,
x,comment,2068946915392356546,@rafiziramli Yes! Puteri Wangsa masuk senarai https://t.co/SZWk9pAge6,,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,neutral,2026-06-22T06:39:18+00:00,27,1,0,0,0.0,29,,Cen Polo,0.0
x,comment,2068952091553628294,"@rafiziramli @SyeffulE Terbaik. BERSAMA pasti menang many seats 💪🏽

Putri Wangsa nampak very tempting for me to help out BERSAMA ☺️

Jgn ditanya kenapa Putri Wangsa 🤭",,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,neutral,2026-06-22T06:59:52+00:00,24,0,0,0,0.0,24,,M.S.G.S - ਮਨਜੀਤ ਸਿੰਘ,0.0
x,comment,2068947742311989610,@rafiziramli Moga dipermudah segala urusan &amp; mendapat support pengundi👍💪,,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,neutral,2026-06-22T06:42:35+00:00,19,2,1,0,0.0,26,,Mohd Idris Omar,0.0
x,comment,2068946402244284482,"@rafiziramli Alhamdulillah. 15 kerusi. 
Satu lagi YB, kalau boleh la , letak satu lagi di DUN Layang-layang. Sebab sana kawasan campuran kaum.",,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,neutral,2026-06-22T06:37:16+00:00,19,1,1,0,0.0,24,,Ijam Rahim,0.0
x,comment,2068945972227711280,"@rafiziramli Lets goooooooooo
❤️‍🔥📈 https://t.co/TRP8DsRPSw",,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,neutral,2026-06-22T06:35:33+00:00,15,2,2,0,0.0,25,,Tok Hang,0.0
x,comment,2068973792861519961,@rafiziramli Wah Skudai pon ada. Aka pujuk sahabat2 lama dekat Taman U untuk undi BERSAMA.,,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,neutral,2026-06-22T08:26:06+00:00,9,0,0,0,0.0,9,,Filipooh,0.0
x,comment,2068953027999043924,"@rafiziramli game on YB 💪💪💪 

#BERSAMA 
Barisan Rakyat Suara Malaysia",,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,neutral,2026-06-22T07:03:35+00:00,7,0,0,0,0.0,7,,Barzsa #AyuhMalaysia #BERSAMA,0.0
x,comment,2069009130678067439,"@rafiziramli @ThIsIs_Zharif N42
N43

Baikk!! Siapa jaga whatsapp region parlimen dengan sukarelaean approve aku cepat. 

Nak jadi pak pacak ni",,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,neutral,2026-06-22T10:46:31+00:00,6,0,0,0,0.0,6,,Babah Of Six,0.0
x,comment,2068963075366199397,@rafiziramli Hope I can contribute.. See you there,,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,neutral,2026-06-22T07:43:31+00:00,5,0,0,0,0.0,5,,Slayingwolf,0.0
x,comment,2068957453287575947,"@rafiziramli Pemecah undi saja ni. Untuk jadi kerajaan tak mungkin dah. Kenapa tak letak semua kerusi. Kancil haiwan yang baik, tak pernah ada riwayat kancil pengacau ataubpengkhianat. Fikir balik, bukan main letak je logo parti",,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,neutral,2026-06-22T07:21:10+00:00,4,0,7,0,0.0,25,,HORTADAI,0.0
x,comment,2068969435701096954,@rafiziramli Alhamdulillah. Skudai. My undi for BERSAMA.,,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,neutral,2026-06-22T08:08:47+00:00,3,0,0,0,0.0,3,,.,0.0
x,comment,2068978220796719125,@rafiziramli Go go goooo!!!! https://t.co/ffkPXQMWuu,,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,neutral,2026-06-22T08:43:42+00:00,4,0,0,0,0.0,4,,ARIF PENGKALAN CHEPA,0.0
x,comment,2068970443906961913,@rafiziramli letak calon banyak di kerusi UMNO (penyandang). noiceee ! @partibersamamy https://t.co/OfjKpPIudE,,https://x.com/rafiziramli/status/2068945097715249224,2068945097715249224,neutral,2026-06-22T08:12:48+00:00,5,0,0,0,0.0,5,,Shahrool Azree,0.0
