Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
x,post,2064696023382196651,"#BuletinBernama : DAP Negeri Sembilan akan mengekalkan lebih separuh daripada penyandang sedia ada sebagai calon pada Pilihan Raya Negeri kali ini dalam usaha mempertahankan rekod cemerlang memenangi semua kerusi yang ditandingi sejak 2013.

#digitalbernamatv #DAP #PRN #N9 https://t.co/QgNEtAZtfe",https://x.com/BernamaTV/status/2064696023382196651,,,neutral,Wed Jun 10 13:07:46 +0000 2026,0,0,0,32,0.0,0,0.032,,
x,post,2064364923241828773,"#BernamaNews : Datuk Seri Dr Ahmad Zahid Hamidi who is also Barisan Nasional chairman, has announced that BN will contest the upcoming Negeri Sembilan state election on its own.

#digitalbernamatv #zahidhamidi #barisannasional https://t.co/ysRAwAzpoK",https://x.com/BernamaTV/status/2064364923241828773,,,neutral,Tue Jun 09 15:12:06 +0000 2026,0,1,0,396,0.0,4,2.396,,
x,post,2064305803562258665,"𝗦𝘂𝗿𝗮𝘁 𝗠𝘂𝗵𝘆𝗶𝗱𝗱𝗶𝗻 𝗸𝗲𝗽𝗮𝗱𝗮 𝗣𝗔𝗦 𝗱𝗲𝗱𝗮𝗵 𝗽𝗹𝗼𝘁 𝘁𝘂𝗺𝗯𝗮𝗻𝗴 𝗸𝗲𝗿𝗮𝗷𝗮𝗮𝗻 𝗣𝗛 𝗡𝗲𝗴𝗲𝗿𝗶 𝗦𝗲𝗺𝗯𝗶𝗹𝗮𝗻

Satu surat setebal 13 muka surat didakwa daripada Presiden Bersatu Muhyiddin Yassin kepada pemimpin PAS mendedahkan Perikatan Nasional mengadakan perbincangan awal dengan Umno mengenai usaha menyingkirkan Menteri Besar Negeri Sembilan, Aminuddin Harun.

Tebok Atap ropanya.....",https://x.com/Nazril_Iznil/status/2064305803562258665,,,neutral,Tue Jun 09 11:17:11 +0000 2026,77,31,9,4682,0.0,163,170.682,,
x,comment,2064323836489932889,@Nazril_Iznil “ PNkhianat yang dikhianati “ - sekali khianat sampai bila2 pun khianat,,https://x.com/Nazril_Iznil/status/2064305803562258665,2064305803562258665,neutral,1781008130000,4,0,1,0,0.0,7,,Loziaf,0.0
x,comment,2064316556772093964,"@Nazril_Iznil ""Scheme of Things"" akhirnya menjadi ""Nothing"" 😆 #PadanMuka @MuhyiddinYassin @AzminAli https://t.co/1t5oErsaq8",,https://x.com/Nazril_Iznil/status/2064305803562258665,2064305803562258665,neutral,1781006394000,9,0,2,0,0.0,15,,Dollah Abd Rizal,0.0
x,comment,2064386644049015003,"@Nazril_Iznil Cubaan ""alih tiang"" kut.
Kenapa tiada dinyatakan samada nama Rais Yatim mahupun CheguBard dlm isu krisis adat N9 ini.
Adakah naratif yg dibawa oleh Rais Yatim  &amp; CheguBard adalah strategi ""serampang dua mata"" jatuhkan Kerajaan PH N9 disamping menurunkan Tuanku Muhriz dari takhta.",,https://x.com/Nazril_Iznil/status/2064305803562258665,2064305803562258665,neutral,1781023105000,2,0,0,0,0.0,2,,Tok Jaks,0.0
x,comment,2064324123476836586,@Nazril_Iznil @AmenoWorld Giler kuasa betul,,https://x.com/Nazril_Iznil/status/2064305803562258665,2064305803562258665,neutral,1781008198000,5,0,1,0,0.0,8,,JAMALUL,0.0
x,comment,2064680917679943750,"@Nazril_Iznil Teruknya perangai UMNO, PAS dan BERSATU...",,https://x.com/Nazril_Iznil/status/2064305803562258665,2064305803562258665,neutral,1781093265000,0,0,0,0,0.0,0,,Jantzen,0.0
x,comment,2064512713020383489,@Nazril_Iznil .. only to be foiled and now abandoned by PIS. Ape la nasib si Mahyuddin.,,https://x.com/Nazril_Iznil/status/2064305803562258665,2064305803562258665,neutral,1781053162000,1,0,0,0,0.0,1,,Gerald Kong,0.0
x,comment,2064517352067399690,@Nazril_Iznil Pengkhianat adalah Pendosa dalam Agama.,,https://x.com/Nazril_Iznil/status/2064305803562258665,2064305803562258665,neutral,1781054268000,1,0,0,0,0.0,1,,Calvin Lee,0.0
x,comment,2064376715502346396,@Nazril_Iznil The good for nothing parties...,,https://x.com/Nazril_Iznil/status/2064305803562258665,2064305803562258665,neutral,1781020737000,1,0,0,0,0.0,1,,Abu Qais Imaging,0.0
x,comment,2064518490594390461,@Nazril_Iznil That's what I said Zahid Komedy cant be trusted...😡😂,,https://x.com/Nazril_Iznil/status/2064305803562258665,2064305803562258665,neutral,1781054539000,2,0,0,0,0.0,2,,Alfang,0.0
x,post,2064330741618708734,"#BuletinBernama : Barisan Nasional mengumumkan akan bertanding secara solo pada Pilihan Raya Negeri Negeri Sembilan akan datang.

#digitalbernamatv #AhmadZahidHamidi #BN #PRN https://t.co/pxeIvCKIpB",https://x.com/BernamaTV/status/2064330741618708734,,,neutral,Tue Jun 09 12:56:16 +0000 2026,0,0,0,199,0.0,1,0.199,,
x,post,2064286483268477367,BN tanding solo di PRN Negeri Sembilan - Ahmad Zahid https://t.co/Hhtw7WDoAL,https://x.com/UMNONow/status/2064286483268477367,,,neutral,Tue Jun 09 10:00:24 +0000 2026,7,0,0,297,0.0,9,7.297,,
x,post,2064263032596017548,"TERKINI‼️
 
📌BN tidak berhasrat hidupkan semula Muafakat Nasional

📌BN sedia tanding solo pada PRN Negeri Sembilan

-Presiden UMNO Datuk Seri Ahmad Zahid Hamidi

#BernamaNews
@DrZahidHamidi https://t.co/9d2fV2SwPV",https://x.com/bernamadotcom/status/2064263032596017548,,,neutral,Tue Jun 09 08:27:13 +0000 2026,43,26,0,25531,0.0,324,120.531,,
x,post,2064589721737875572,"Kah Leong menegaskan bahawa punca utama Dewan Undangan Negeri (DUN) Negeri Sembilan terpaksa dibubarkan adalah disebabkan tindakan 14 Adun BN yang berkomplot secara rahsia dengan Perikatan Nasional (PN) dalam cubaan merampas kuasa melalui “pintu belakang”.

Berita penuh : https://t.co/yLA2BF82EK",https://x.com/suara_tv/status/2064589721737875572,,,neutral,Wed Jun 10 06:05:22 +0000 2026,0,0,0,38,0.0,0,0.038,,
x,post,2064269523910594728,"🔹 BN tidak berhasrat hidupkan semula Muafakat Nasional 

🔹 BN sedia tanding solo pada PRN Negeri Sembilan

-- Ahmad Zahid

#digitalbernamatv 
#zahidhamidi 
#barisannasional https://t.co/QFLgdEJjlj",https://x.com/BernamaTV/status/2064269523910594728,,,neutral,Tue Jun 09 08:53:01 +0000 2026,0,0,0,124,0.0,1,0.124,,
x,post,2064302445401100342,"BN Tanding Solo Di Negeri Sembilan, Kita Tiada Pilihan - Zahid

Barisan Nasional (BN) bersedia menghadapi Pilihan Raya Negeri (PRN) Negeri Sembilan secara solo sekiranya perlu, kata Pengerusinya, Ahmad Zahid Hamidi. Namun, beliau menegaskan ruang rundingan dengan Pakatan Harapan (PH) masih terbuka bagi mengekalkan Kerajaan Perpaduan di negeri itu.

Video : Muhamad Asyraf

#malaysiagazette
#BN",https://x.com/MalaysiaGazette/status/2064302445401100342,,,neutral,Tue Jun 09 11:03:50 +0000 2026,9,1,2,3649,0.0,48,20.649,,
x,post,2064274375072006147,"BN sah bertanding solo di Negeri Sembilan

https://t.co/PNMqid4xlx",https://x.com/UMonline/status/2064274375072006147,,,neutral,Tue Jun 09 09:12:18 +0000 2026,1,2,0,198,0.0,4,5.198,,
x,post,2064329855924342846,"Pengerusi Barisan Nasional (BN) Datuk Seri Dr Ahmad Zahid Hamidi berkata gabungan politik itu akan bertanding secara solo pada Pilihan Raya Negeri Negeri Sembilan akan datang.

Presiden Umno itu berkata BN tidak mempunyai pilihan melainkan bergerak solo selepas Pakatan Harapan (PH) mengumumkan hasrat untuk bertanding di kesemua 36 kerusi Dewan Undangan Negeri (DUN).

""Ya, di Negeri Sembilan pastinya kita akan bergerak solo kerana (PH) telah mengumumkan mereka bertanding di seluruh 36 kerusi… jadi, kita tidak ada pilihan melainkan terpaksa bertanding secara solo,"" katanya kepada pemberita selepas merasmikan program Invest Malaysia 2026 di Kuala Lumpur hari ini. 

Berita penuh: https://t.co/vBOyRu1tSA",https://x.com/mkini_bm/status/2064329855924342846,,,neutral,Tue Jun 09 12:52:45 +0000 2026,10,7,9,3654,0.0,62,54.653999999999996,,
x,comment,2064602898542248060,"@mkini_bm Masih lagi nk brharap kpd dahan yg rapuh ?
Lepaskn je dahan tu 

UMNO harus berani melawan arus utk seberang ke daratan yg tinggi",,https://x.com/mkini_bm/status/2064329855924342846,2064329855924342846,neutral,1781074664000,0,0,0,0,0.0,0,,Village People,0.0
x,comment,2064393959418560599,"@mkini_bm Ingat Najib masih di penjara walaupun BN ada dalam kerajaan perpaduan. Fikir2kan kenapa. Kalau BN jadi kuasa paling besar, Najib akan keluar ? Fikirkan2",,https://x.com/mkini_bm/status/2064329855924342846,2064329855924342846,neutral,1781024849000,0,0,0,0,0.0,0,,kupu-kupu 🦋 🏴,0.0
x,comment,2064505280428437684,@mkini_bm Aik dia pulak terpaling victim. Tiada pilihan lain hahaha. Aku memang tabik kawan ni punya pusing.,,https://x.com/mkini_bm/status/2064329855924342846,2064329855924342846,neutral,1781051390000,3,0,0,0,0.0,3,,Mektam,0.0
x,comment,2064507310844875042,@mkini_bm Ini masanya kita benamkan UMNO yg mengugat kedudukan Yang Dipertuan Besar N9 ke 11 pd prn nanti,,https://x.com/mkini_bm/status/2064329855924342846,2064329855924342846,neutral,1781051874000,2,0,0,0,0.0,2,,mhmd76,0.0
x,comment,2064514651447255481,@mkini_bm Berkemungkinan BN Negeri Sembilan Akan Terkubur,,https://x.com/mkini_bm/status/2064329855924342846,2064329855924342846,neutral,1781053624000,0,0,0,0,0.0,0,,PelitaRaya,0.0
x,comment,2064538950258343993,@mkini_bm https://t.co/bOnQGP85M3,,https://x.com/mkini_bm/status/2064329855924342846,2064329855924342846,neutral,1781059417000,0,0,0,0,0.0,0,,LadyM🧧,0.0
x,comment,2064485810788053265,@mkini_bm Testinggggg...... https://t.co/rNusVvi9T0,,https://x.com/mkini_bm/status/2064329855924342846,2064329855924342846,neutral,1781046748000,0,0,0,0,0.0,0,,Hartanah Timur,0.0
x,comment,2064594797646770498,@mkini_bm Rosmah nak pinjam duit,,https://x.com/mkini_bm/status/2064329855924342846,2064329855924342846,neutral,1781072732000,0,0,0,0,0.0,0,,RAFAtuya,0.0
x,comment,2064521778454818837,@mkini_bm Lingkup politik Malaysia,,https://x.com/mkini_bm/status/2064329855924342846,2064329855924342846,neutral,1781055323000,0,0,0,0,0.0,0,,Shaharudinali,0.0
x,post,2062846146209530206,"[TERKINI]

📌BN sedia hadapi PRN Negeri Sembilan, terbuka adakan rundingan pastikan Kerajaan Perpaduan dapat dikekalkan di negeri itu 

📌UMNO tiada perbincangan dengan PAS hidupkan Muafakat Nasional 2.0 

-- Pengerusi Barisan Nasional Datuk Seri Dr Ahmad Zahid Hamidi 

#BernamaNews
#PRNNegeriSembilan",https://x.com/bernamadotcom/status/2062846146209530206,,,neutral,Fri Jun 05 10:37:01 +0000 2026,9,4,0,4762,0.0,60,21.762,,
