Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
x,post,2073661223653228988,KJ: Hak Melayu N Sembilan terancam jika Umno tiada dalam k'jaan negeri https://t.co/Mi0phmxpqA,https://x.com/mkini_bm/status/2073661223653228988,,,neutral,2026-07-05T06:52:17+00:00,121,20,270,203799,0.0,2448,1174.799,,
x,comment,2074006248035647805,@mkini_bm @Khairykj  ini butul ka… dulu keluar sikijab … sikarang Bangsa Ugama saja lain indada https://t.co/t1agiB21Zd,,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783316597000,6,5,2,0,0.0,22,,"UrangSabah baini, sumua pun uncit, anak tiri bakan",0.0
x,comment,2073708050754773380,@mkini_bm Dulu Rafizi pernah puji KJ ni satu²nya dari umno yg tak main isu  perkauman. Apa dah jadi ni?,,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783245501000,4,0,4,0,0.0,16,,Solihein Samsuri,0.0
x,comment,2073695115764531228,@mkini_bm Ular ni memang hanat. Ko punya spin babi pun kalah KJ oi https://t.co/GAAdIv45OC,,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783242417000,112,19,5,0,0.0,165,,LadyM🧧,0.0
x,comment,2073672847101436390,"@mkini_bm PAS : Islam akan terancam jika tak sokong PAS.
UMNO : Melayu akan terancam jika tak sokong UMNO.

Dua parti yang sepatutnya sudah lama berkubur kerana tidak sudah-sudah bermain dengan sentimen agama dan bangsa.",,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783237108000,165,28,1,0,0.0,224,,frossonice,0.0
x,comment,2073682481593901317,@mkini_bm Umno yg terancam sebenarnya...umno dah tak berguna,,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783239405000,33,3,0,0,0.0,39,,Hartanah Timur,0.0
x,comment,2073683196840153416,"@mkini_bm ""Melayu terancam"" 😂 cerita basi weiiii @khairykj it's 2026, bro. You sound like it's 1986. @ShahrilHamdan @keluarsekejap https://t.co/5El0vIV4m1",,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783239575000,67,10,1,0,0.0,90,,Dollah Abd Rizal,0.0
x,comment,2073681942114144376,@mkini_bm Umno n9 sendiri yg bongok tarik diri dari kerajaan n9😅,,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783239276000,27,5,2,0,0.0,43,,AqimNizar,0.0
x,comment,2073710748128440697,"@mkini_bm UMNO....UMNO
Hak Melayu yg mana?... https://t.co/zTKYNUUjGc",,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783246144000,19,5,1,0,0.0,32,,"Ramli Zainal, Ph.D.",0.0
x,comment,2073957124254916702,"@mkini_bm Ular nii, tapi sembang asal babi boleh terbang aje.",,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783304885000,0,0,0,0,0.0,0,,aku bersama #AyuhMalaysia2.0 #PalestineLiveMatter,0.0
x,comment,2073725545817514421,"@mkini_bm Pastikan ular ni tak jadi pemimpin besar kat msia, dia kerja membelit ikut mana ada kelebihan peribadi dia je bukan nak pikir rakyat sangat pun",,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783249672000,4,0,1,0,0.0,7,,-,0.0
x,comment,2074449426161246705,Felda 70 tahun: Anwar ingatkan jangan ulang silap lama https://t.co/9Z8ix3p0K5,,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783422259000,0,0,0,0,0.0,0,,Malaysiakini (BM),0.0
x,comment,2073680504663277813,"@mkini_bm membohong je keje ko

bukan umno jer yg jaga melayu

PKR AMANAH dan even DAP pon jaga melayu

tapi melayu yg mana?

PH jaga melayu bawahan

UMNO jaga melayu bangsawan kayangan",,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783238934000,68,4,0,0,0.0,76,,anapisang,0.0
x,comment,2074113502072254514,"@mkini_bm ""Hak Melayu diancam !"" kata DJ Cage masa release his new remix Me-me-melayu Terancam",,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783342168000,0,0,0,0,0.0,0,,Random_History_Guy,0.0
x,comment,2073675806182891947,"@mkini_bm Hak Melayu di NS dan negeri negeri lain tdk akan terancam kerana ia dilindungi oleh perlembagaan persekutuan.

Yg mungkin rasa terancam ialah kebarangkalian parti melayu umno ditolak sepenuhnya oleh pengundi NS. @Khairykj.",,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783237813000,56,10,0,0,0.0,76,,Abdul Aziz bin Abdullah @ AAA,0.0
x,comment,2073762845519724996,@mkini_bm Dia kena tunjuk kepak la sebab presiden dia dh buka pintu kembali masuk umno,,https://x.com/mkini_bm/status/2073661223653228988,2073661223653228988,neutral,1783258565000,0,0,0,0,0.0,0,,PuteraMan,0.0
x,post,1676181040711491584,"#TERKINI : Timbalan Pengerusi PN, Datuk Seri Ahmad Faizal Azumu mendakwa, sejumlah besar penyokong dan ahli UMNO masih 'geli-geleman' untuk bekerjasama dengan DAP pada enam PRN.

Beliau percaya keadaan itu akan menyebabkan mereka mengundi PN.

Ahmad Faizal yang juga Pengerusi PN Negeri Sembilan berkata demikian dalam majlis ramah mesra bersama media di Seremban, petang ini.

#MalaysiaGazette",https://x.com/MalaysiaGazette/status/1676181040711491584,,,neutral,2023-07-04T10:47:56+00:00,123,15,102,53171,0.0,771,512.171,,
x,comment,1676229849730658306,"@MalaysiaGazette DAP geli, GELAKAN yg terang2 anti islam dan melayu sedap lak peluk2",,https://x.com/MalaysiaGazette/status/1676181040711491584,1676181040711491584,neutral,1688479313000,55,6,2,0,0.0,73,,StratCommX,0.0
x,comment,1676199810834235393,@MalaysiaGazette Bershit https://t.co/2guDavM0Gw,,https://x.com/MalaysiaGazette/status/1676181040711491584,1676181040711491584,neutral,1688472151000,22,5,0,0,0.0,32,,RudyHartono,0.0
x,comment,1676222856596971525,@MalaysiaGazette Yang geli geleman tu org melayu nak sokong GERAKAN..,,https://x.com/MalaysiaGazette/status/1676181040711491584,1676181040711491584,neutral,1688477646000,17,4,1,0,0.0,28,,BULETIN RMS,0.0
x,comment,1676258731733180417,@MalaysiaGazette Geli dgn @PejaOfPerak mkn gaji BUTA masa jadi Menteri dulu https://t.co/WlnskgyrXV,,https://x.com/MalaysiaGazette/status/1676181040711491584,1676181040711491584,neutral,1688486199000,9,1,0,0,0.0,11,,YNWA,0.0
x,comment,1676237285044686848,@MalaysiaGazette Peja... Shut ur mouth and get lost,,https://x.com/MalaysiaGazette/status/1676181040711491584,1676181040711491584,neutral,1688481086000,0,1,0,0,0.0,2,,🇲🇾 Anbalagan Ramasamy 🇲🇾,0.0
x,comment,1676244624950820864,@MalaysiaGazette Geli jijik tgk muka kau yg mcm tgh isap gam @pejaofperak @ppbmofficial @armadabersatumy 🤣🤣🤣,,https://x.com/MalaysiaGazette/status/1676181040711491584,1676181040711491584,neutral,1688482836000,0,1,0,0,0.0,2,,Andi,0.0
x,comment,1676229606528151555,"@MalaysiaGazette @PejaOfPerak masa jadi MB dulu dengan DAP kan? Masa ko boleh, x geli geleman?

Bodoh",,https://x.com/MalaysiaGazette/status/1676181040711491584,1676181040711491584,neutral,1688479255000,6,1,1,0,0.0,11,,beyond_dreams,0.0
x,comment,1676437528466051072,@MalaysiaGazette Yg ini tak geli ke??? https://t.co/7C08IxHuG8,,https://x.com/MalaysiaGazette/status/1676181040711491584,1676181040711491584,neutral,1688528828000,0,1,0,0,0.0,2,,Matin Mumu,0.0
x,comment,1676222029148872704,"@MalaysiaGazette MeLAYU pun geli geleman dgn @PejaOfPerak, tuan penasihat penilai mee kari",,https://x.com/MalaysiaGazette/status/1676181040711491584,1676181040711491584,neutral,1688477449000,0,1,0,0,0.0,2,,Ady Kent,0.0
x,comment,1676196079879229440,@MalaysiaGazette Korang ahli politik melayu ni yg sampah..tak boleh harap...korang semua yg mwnjahanamkan melayu...sedar diri tu sikit...korang sepatutnya jadi pemimpin melayu berkaliber membela bangsa korang..tapi korang semua jenis sampah tak boleh pakai,,https://x.com/MalaysiaGazette/status/1676181040711491584,1676181040711491584,neutral,1688471262000,24,1,1,0,0.0,29,,AnakMalaya,0.0
x,comment,2074450769441624312,"Yang Dipertua Majlis Perbandaran Taiping, Mohamed Akmal Dahalan ketika sesi pertukaran dokumen memorandum persefahaman (MOU) bersama Pengerusi Yayasan Pulai Orang Utan Bukit Merah, Prof Datuk Dr Abdul Latif Mohamad dan Pengarah Bukit Merah Resort Sdn Bhd, Nazri Tumin di Pavillion Zoo Taiping & Night Safari hari ini.

#malaysiagazetteperak #MGPerak 

Foto : Abdullah Yusof",,https://x.com/MalaysiaGazette/status/1676181040711491584,1676181040711491584,neutral,1783422579000,0,0,0,0,0.0,0,,Malaysia Gazette,0.0
