Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
x,post,2064529737352183843,"PAS Selangor 

𝗞𝗘𝗡𝗬𝗔𝗧𝗔𝗔𝗡 𝗠𝗘𝗗𝗜𝗔

𝗣𝗔𝗦 𝗜𝗦𝗧𝗜𝗤𝗔𝗠𝗔𝗛 𝗗𝗘𝗡𝗚𝗔𝗡 𝗔𝗚𝗘𝗡𝗗𝗔 𝗣𝗘𝗡𝗬𝗔𝗧𝗨𝗔𝗡 𝗨𝗠𝗠𝗔𝗛

PAS Selangor menyokong dan menerima sepenuhnya keputusan yang ditetapkan oleh Mesyuarat Khas Jawatankuasa Kerja PAS .....
https://t.co/M899TfFMI7 https://t.co/WF8Mtpckdo",https://x.com/PASPNDengkil/status/2064529737352183843,,,neutral,Wed Jun 10 02:07:01 +0000 2026,0,0,0,0,0.0,0,0.0,,
x,post,2064013648171847764,"Parti Islam Se-Malaysia (PAS) ambil ketetapan untuk memutuskan kerjasama politik dengan Parti BERSATU pimpinan TS Muhyiddin Yassin

Presidennya, TG Abdul Hadi Awang nyatakan parti itu kini meneroka suatu bentuk persefahaman politik &amp; kerjasama pilihan raya demi penyatuan ummah https://t.co/fQclAQ6nmO",https://x.com/EkonomiRakyatMY/status/2064013648171847764,,,neutral,Mon Jun 08 15:56:15 +0000 2026,23,3,9,10848,0.0,143,66.848,,
x,comment,2064017272486982053,@EkonomiRakyatMY Masih cerita pasal penyatuan ummah? Bersatu bukan ummah?,,https://x.com/EkonomiRakyatMY/status/2064013648171847764,2064013648171847764,neutral,1780935040000,6,0,1,0,0.0,9,,Zol yunus,0.0
x,comment,2064128782752272808,"@EkonomiRakyatMY Open marriage in Politik Melayu - ""meneroka suatu bentuk persefahaman politik &amp; kerjasama pilihan raya demi penyatuan ummah""",,https://x.com/EkonomiRakyatMY/status/2064013648171847764,2064013648171847764,neutral,1780961626000,4,0,1,0,0.0,7,,umbrab3llator,0.0
x,comment,2064020901201633514,@EkonomiRakyatMY Setelah niat jahat didedahkan!!!! https://t.co/V1tfdDIi8d,,https://x.com/EkonomiRakyatMY/status/2064013648171847764,2064013648171847764,neutral,1780935905000,0,0,0,0,0.0,0,,jawariah2121,0.0
x,comment,2064022409288835077,@EkonomiRakyatMY Can marry Umno now. Kicked out the old wife. PAS Boleh!,,https://x.com/EkonomiRakyatMY/status/2064013648171847764,2064013648171847764,neutral,1780936264000,1,0,0,0,0.0,1,,Goh Kim Hock,0.0
x,comment,2064151369108566195,@EkonomiRakyatMY and the ummah = UMNO. puiiiii,,https://x.com/EkonomiRakyatMY/status/2064013648171847764,2064013648171847764,neutral,1780967011000,1,0,0,0,0.0,1,,human_of_earth,0.0
x,comment,2064158597446254725,"@EkonomiRakyatMY Pas,Bersatu,Umno memang celaka...geng tebuk atap..derhaka pada Raja,khianat amanah rakyat",,https://x.com/EkonomiRakyatMY/status/2064013648171847764,2064013648171847764,neutral,1780968734000,0,0,0,0,0.0,0,,Riz,0.0
x,comment,2064029302262554626,@EkonomiRakyatMY Penyatuan Umah kepala bapak dia....sial pati politics PAS ni.,,https://x.com/EkonomiRakyatMY/status/2064013648171847764,2064013648171847764,neutral,1780937908000,1,0,0,0,0.0,1,,halmi,0.0
x,comment,2064234657856860515,@EkonomiRakyatMY well i never like Bersatu,,https://x.com/EkonomiRakyatMY/status/2064013648171847764,2064013648171847764,neutral,1780986868000,1,0,0,0,0.0,1,,I'M IN DODO ERA 😈🐈‍⬛️ | NARURI 🇵🇸 🍧,0.0
x,post,2064238225116594554,"#BHnasional Pertemuan diadakan atas inisiatif kepimpinan PAS-UMNO adalah bagi merungkai pelbagai permasalahan serta membincangkan agenda yang bukan semata-mata berkaitan politik - Zahid Hamidi

https://t.co/4mwwtp9a6X",https://x.com/bharianmy/status/2064238225116594554,,,neutral,Tue Jun 09 06:48:39 +0000 2026,2,1,0,322,0.0,6,4.322,,
x,post,2064664330113880430,"TERKINI: BERSATU sudah tiada nilai.
13 Ahli Parlimen BERSATU mendesak parti tersebut keluar atau dikeluarkan daripada Perikatan Nasional dan semua lantikan politik politik dan EXCO dari BERSATU di negeri-negeri berkaitan dirombak. https://t.co/3rL19L03vX",https://x.com/UMNONow/status/2064664330113880430,,,neutral,Wed Jun 10 11:01:50 +0000 2026,5,4,0,158,0.0,10,13.158,,
