Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
x,post,1879079333333266489,"Mengadap Duli Yang Maha Mulia Yang di-Pertuan Besar Negeri Sembilan Darul Khusus, Tuanku Muhriz Ibni Almarhum Tuanku Munawir dan Duli Yang Maha Mulia Tunku Ampuan Besar Negeri Sembilan, Tuanku Aishah Rohani binti Almarhum Tengku Besar Mahmud dengan beberapa kemuliaan dan kebesarannya,

Ampun tuanku beribu-ribu ampun, sembah patik pohon diampun,

Patik dengan rasa kesyukuran merafak sembah dan menjunjung kasih di atas limpah perkenan tuanku di atas pengurniaan Darjah Seri Setia Negeri Sembilan Yang Amat Cemerlang (S.S.N.S) kepada patik sempena Hari Keputeraan Ke-77 DYMM Yang di-Pertuan Besar Negeri Sembilan Darul Khusus.

Patik amat menghargai kurniaan ini dan berikrar akan berpegang kepada amanah dan tekad untuk terus berbakti kepada rakyat dan negara.

Akhir kalam, patik mendoakan agar DYMM Tuanku berdua serta kerabat sentiasa berada dalam perlindungan Allah SWT, dikurniakan afiah yang berkekalan dan keberkatan yang berpanjangan.

Menjunjung kasih tuanku,

Rafizi Ramli
Menteri Ekonomi",https://x.com/rafiziramli/status/1879079333333266489,,,neutral,2025-01-14T08:13:19+00:00,2253,333,317,89964,0.0,3802,3959.964,,
x,comment,1879084146607427919,@rafiziramli Tahniah Dato Seri. Harap jogging lah semula,,https://x.com/rafiziramli/status/1879079333333266489,1879079333333266489,neutral,1736843546000,51,4,0,0,0.0,59,,loque,0.0
x,comment,1879081688170733684,"@rafiziramli Tahniah Dato Seri @rafiziramli . Jaga kesihatan, perut kena jaga Dato Seri.",,https://x.com/rafiziramli/status/1879079333333266489,1879079333333266489,neutral,1736842960000,55,1,10,0,0.0,87,,Ahmad,0.0
x,comment,1879079779603022101,@rafiziramli Tahniah Dato Seri. Baju dah nak meletup dah tu 😭,,https://x.com/rafiziramli/status/1879079333333266489,1879079333333266489,neutral,1736842505000,39,0,0,0,0.0,39,,jon,0.0
x,comment,1879107272963690690,@rafiziramli Syabas Timbalan Presiden PKR untuk penggal berikutnya.Andai menang Parlimen terbanyak PRU17 RAFIZI is PERDANA MENTERI MALAYSIA KE 12 INSYA ALLAH.Selepas PRU16 DSAI sambung jadi PM11.Terpulang kepada PKR bagaimana nak gerakkan 1 juta plus AHLI sendiri untuk kekal terunggul lagi.,,https://x.com/rafiziramli/status/1879079333333266489,1879079333333266489,neutral,1736849060000,36,0,1,0,0.0,39,,Zuwairi Md Yusof,0.0
x,comment,1879119177572897236,@rafiziramli Thaniah DS RR kami tumpang bangga org2 Pandan miss u Ramai B 40 menyebut2 Nama DSeri 💕🤣🤣🤣,,https://x.com/rafiziramli/status/1879079333333266489,1879079333333266489,neutral,1736851898000,20,0,0,0,0.0,20,,MoFaYu.,0.0
x,comment,1879161952834117822,@rafiziramli Tahniah Datuk Seri ❤️,,https://x.com/rafiziramli/status/1879079333333266489,1879079333333266489,neutral,1736862097000,17,1,1,0,0.0,22,,Kami KEADILAN,0.0
x,comment,1879090258371031225,@rafiziramli Congrat.. @rafiziramli dengan kurnia nya gelaran ini harap jaga kesihatan dan maju ke hadapan,,https://x.com/rafiziramli/status/1879079333333266489,1879079333333266489,neutral,1736845004000,19,0,0,0,0.0,19,,Joharijamaludin,0.0
x,comment,1879080902325912027,@rafiziramli Tahniah Raf….perut dah maju kedepan tu😂,,https://x.com/rafiziramli/status/1879079333333266489,1879079333333266489,neutral,1736842773000,14,2,1,0,0.0,21,,Black Dragon,0.0
x,comment,1879081198028521488,@rafiziramli Sebelum ni SRR (saudara Rafizi Ramli). Skrang DSRR. Tahniah!!!,,https://x.com/rafiziramli/status/1879079333333266489,1879079333333266489,neutral,1736842843000,11,2,0,0,0.0,15,,tokjanggut53300,0.0
