Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
youtube,post,9D1IQ9DkO9A,"Baca Selengkapnya di https://video.tribunnews.com/news/879151/jokowi-ogah-hadiri-proses-mediasi-gugatan-cls-ijazah-di-pn-solo-kuasa-hukum-beliau-keberatan

Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru

TRIBUN-VIDEO.COM- Presiden ke-7 RI Joko Widodo sengaja tak menghadiri proses sidang mediasi gugatan Citizen Lawsuit (CLS) soal dugaan ijazah palsu di Pengadilan Negeri (PN) Surakarta.

Menurut kuasa hukum Jokowi, YB Irpan di PN Surakarta, Selasa (21/10), kliennya keberatan. 

YB Irpan menjelaskan, Jokowi bukan penyelenggara negara. 

Program: Tribunnews Update
Host: Adila Ulfa Muna Risna
Editor Video: Sekar Kinasih
Uploader: Panji Anggoro Putro

#Jokowi #GugatanCLS #IjazahJokowi #PN_Solo #MediasiPN #KuasaHukumJokowi #BeritaHukum #PengadilanNegeri #CLS #BeritaTerbaru",https://www.youtube.com/watch?v=9D1IQ9DkO9A,,,neutral,2025-10-22T08:39:48+00:00,14,0,64,6288,0.0,140,212.288,,
youtube,post,PZDvXrZPvR8,"Pengadilan Negeri (PN) Kota Solo secara resmi menetapkan Kanjeng Gusti Pangeran Haryo (KGPH) Purboyo bergelar Sri Susuhunan Pakubuwono XIV melalui penetapan pengadilan. Berdasarkan Sistem Informasi Penelusuran Perkara (SIPP) PN Solo, perkara Nomor 178/Pdt.P/2025/PN Skt, majelis hakim mengabulkan sebagian permohonan pemohon terkait penggantian nama. Humas PN Solo, Aris Gunawan, mengonfirmasi penetapan tersebut diputuskan pada 21 Januari 2026. Dalam putusan itu, pengadilan memberikan izin kepada pemohon untuk mengganti nama sebagaimana dimohonkan. ""Yang semula tercantum dalam KTP sebagai Kanjeng Gusti Pangeran Haryo Purboyo menjadi Sri Susuhunan Pakubuwono XIV,"" jelas Aris Gunawan saat dihubungi, Kamis (29/1/2026).

Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru


Naskah Video : Kompas.com
Video Production : Adi Chandra
Url Berita : https://regional.kompas.com/image/202...

#tribunbanten",https://www.youtube.com/watch?v=PZDvXrZPvR8,,,neutral,2026-01-29T09:16:43+00:00,11,0,62,6007,0.0,133,203.007,,
youtube,post,7pBUYMt-8to,"Sidang lanjutan gugatan ijazah melalui mekanisme citizen lawsuit terhadap Presiden ke-7 Republik Indonesia, Joko Widodo (Jokowi), kembali digelar di Pengadilan Negeri (PN) Kota Solo, Jawa Tengah, Selasa (30/12/2025). 

Sidang dipimpin oleh Ketua Majelis Hakim Achmad Satibi, dengan anggota Aris Gunawan dan Lulik Djatikumoro. Agenda persidangan kali ini telah memasuki tahap pembuktian setelah sempat tertunda pada pekan sebelumnya. 

Yuk Subscribe 
   / @officialsindonews  
   / @sindopodcast  
   / @sindokalam  

Tanggal Tayang: 30 DESEMBER 2025

Selengkapnya baca di: https://nasional.sindonews.com/

Follow WA Channel: https://whatsapp.com/channel/0029Va9l...
Follow our Official TikTok   / sindonews  
Follow our Official Twitter   / sindonews    
Like our Official Facebook   / sindonews   
Follow our Official Instagram   / sindonews  

#jokowi #ijazahjokowi #PNSolo #SidangGugatan #SindoNews #Viral #BeritaTerkini",https://www.youtube.com/watch?v=7pBUYMt-8to,,,neutral,2025-12-31T02:15:00+00:00,38,0,21,12314,0.0,182,113.314,,
youtube,comment,UgyUia89iPJTj7f79Qp4AaABAg,Yg harus d benahi akhlaq polisi tuh,,https://www.youtube.com/watch?v=7pBUYMt-8to,7pBUYMt-8to,neutral,2026-01-20T00:00:00Z,2,0,0,0,0.0,200,,"{'id': 'UCma3ZJMCDMN7k-QesjCzp4g', 'name': '@RestiSusiana-jv2wq', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_lTsn_SEf4XL2vXIaaoqLUud5NQ9oq-8qVva6nli6qHfYKIw450e_k2BCXQMQ4EGZfOvw=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgxYzr8HDXPGu_7odt94AaABAg,"Dari dulu cuma ijazah saja mutar mutar ambur² uang bayar sana bayar sini untk mencari pembelaan tidak selesai selesai sampai kapanpun pak Jokowi tidak akan berani hadir di persidangan, bisa di jemput paksa asal Kapolrinya dan seluruh jajarannya di ganti yg baru semua.",,https://www.youtube.com/watch?v=7pBUYMt-8to,7pBUYMt-8to,neutral,2026-01-20T00:00:00Z,2,0,0,0,0.0,200,,"{'id': 'UCZN-YVItvpQFJq5rijF79Cw', 'name': '@NurSholahudin', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_mQPSrH_ciG7qqWxXbvLdt-yOWg8iIxIJ94kZavog4xQVh7F-Pwyaiwm5oLdrxwNC7pVw=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugwl0ea4LIDoGBo7pdZ4AaABAg,Kapan BP Presiden Prabowo Listiyo S ini di GANTI kami Masyarakat  dah muaklihat TINGKAH nya,,https://www.youtube.com/watch?v=7pBUYMt-8to,7pBUYMt-8to,neutral,2026-01-20T00:00:00Z,6,0,1,0,0.0,611,,"{'id': 'UCUXpv8MQCHNpBOiIonC3TGA', 'name': '@WanciHanda', 'thumbnails': [{'url': 'https://yt3.ggpht.com/BbXQ_niItUn4tvjZvwhCEHOehw59LR8HANqHS922u1HwGRikXjl4xVTqsfu3eSZeo5PlhaspdMQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugy-fo0zAa7RNcCWcoB4AaABAg,"Sadarlah wi wi 
Hidup berapa tahun  lagi'
Segera bertobat",,https://www.youtube.com/watch?v=7pBUYMt-8to,7pBUYMt-8to,neutral,2026-01-20T00:00:00Z,1,0,0,0,0.0,100,,"{'id': 'UCrUky_y1TtLsMR4M1AlZGcQ', 'name': '@Imam-ph8ce', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_nbIRpRoYqRgJ2spNIQtwabq6ir18ziB_GIrg8eyjIddwsRWvvxJsp8Y8bqRYKGYd7v5A=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgyK6x1TukAbwumBIjZ4AaABAg,"omonge di ganti ???

lengserkan",,https://www.youtube.com/watch?v=7pBUYMt-8to,7pBUYMt-8to,neutral,2026-01-20T00:00:00Z,1,0,0,0,0.0,100,,"{'id': 'UCSsM6QcpzjOQ4SrsuDvUeJw', 'name': '@sumarnomarno5817', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_lNAbvUpZeRmdxmJJQ6AbwZBlFr3RDkDdQNgy6cXuDZ9yw=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgwGTV5OLtI6zC2Q0BV4AaABAg,Pak listyo benahi dullu aklakmu dan menyalmi,,https://www.youtube.com/watch?v=7pBUYMt-8to,7pBUYMt-8to,neutral,2026-01-20T00:00:00Z,0,0,0,0,0.0,000,,"{'id': 'UCExKTtDx7dso6Mu-VtVjPRQ', 'name': '@SuparniParni-h4o3u', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_kN0vHjIDhTA7B0t2l-8jw4du0Fp3Q4NWDxREtZ0wG6prM4O5dykKEJAxt14lhBl9HMMQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgxtrDhopsGlab_XRPl4AaABAg,ak muak lihatnya,,https://www.youtube.com/watch?v=7pBUYMt-8to,7pBUYMt-8to,neutral,2026-01-20T00:00:00Z,2,0,0,0,0.0,200,,"{'id': 'UCSsM6QcpzjOQ4SrsuDvUeJw', 'name': '@sumarnomarno5817', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_lNAbvUpZeRmdxmJJQ6AbwZBlFr3RDkDdQNgy6cXuDZ9yw=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
