Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
youtube,post,IXzEJUBjHsk,"Episod 204 Keluar Sekejap bersiaran khas dari Muzium Tokoh Johor dengan membawakan analisis mendalam mengenai kempen Pilihan Raya Negeri (PRN) Johor yang kini memasuki fasa penting.

KJ dan Shahril membincangkan isu-isu utama yang mewarnai kempen kali ini, termasuk pertembungan sengit antara Barisan Nasional dan Pakatan Harapan, strategi serta naratif yang dibawa oleh setiap gabungan, prestasi kempen di lapangan, dan faktor-faktor yang bakal mempengaruhi keputusan pilihan raya.

Turut dikupas ialah persoalan sama ada berlaku peralihan undi PAS kepada Barisan Nasional, perubahan pola sokongan pengundi, kekuatan manifesto, serta bagaimana semua perkembangan ini mampu menentukan landskap politik Johor selepas hari pengundian.

Timestamp EP204
0:00 Intro
8:43 Kempen Jumpa Jentera
19:27 Turnout Voters
21:45 Naratif Bercelaru BN
39:45 Future Speaks
47:36 Parti Bersama di PRN Johor
1:00:47 Perang Naratif BN vs PH
1:07:22 Manifesto Parti
1:15:30 PH bakal menang banyak kerusi?
1:18:00 Debat Maszlee vs OH",https://www.youtube.com/watch?v=IXzEJUBjHsk,,,neutral,2026-07-06T08:00:15+00:00,982,0,410,59221,0.0,1984,2271.221,,
youtube,post,dyj6t1zUDKw,"Antara paparan Sekilas Fakta 20 April 2026:

1) Krisis takhta Negeri Sembilan: Yang di-Pertuan Besar dipecat, MB bersuara 
2) Sidang DUN Perlis ditangguh mengejut! MB tak takut
3) Muhyiddin: Penakut minta darurat tangguh PRN Melaka, Johor
4) Takut kalah? Zahid tempelak Muhyiddin, nafi nak tangguh PRN
5) Anwar bagi 'hint' bila PRU, PRN akan diadakan
6) MP PAS mohon maaf kepada Fadhlina, saman fitnah selesai
7) Tegang di Mitec KL! Aktivis pro-Palestin bantah ekspo senjata 


---

Jika anda menyukai laporan yang kami hasilkan, kami amat berbesar hati jika anda boleh membuat sumbangan kepada kami.

Anda boleh menyumbang dengan klik pada pautan yang disertakan: https://membership.malaysiakini.com/d...

Anda juga boleh mendengar Sekilas Fakta yang kini berada di:
Spotify: https://mk.my/A1IGfbX
Apple Podcasts: https://mk.my/sYM0FOY",https://www.youtube.com/watch?v=dyj6t1zUDKw,,,neutral,2026-04-20T11:32:16+00:00,858,0,280,114398,0.0,2281,1812.398,,
youtube,post,P1kzCNyPzp8,"Datuk Seri Aminuddin Harun mengumumkan cuti peristiwa khas pada Isnin selepas gabungan Pakatan Harapan (PH) dan Barisan Nasional (BN) memenangi Pilihan Raya Negeri (PRN) di Negeri Sembilan.







Layari pru.astroawani.com untuk keputusan penuh #6NegeriMemilih

SUBSCRIBE now! @Astro Awani
https://www.youtube.com/c/astroawani?sub_confirmation=1

Berita lanjut di: http://grid.astroawani.com

Astro AWANI LIVE https://www.astroawani.com/video-terkini

Social Media:
FACEBOOK https://www.facebook.com/astroawani
TWITTER https://twitter.com/501Awani
INSTAGRAM https://www.instagram.com/501awani
TELEGRAM https://t.me/astroawani

#PantauKerajaanBaharu
#AWANInews",https://www.youtube.com/watch?v=P1kzCNyPzp8,,,neutral,2023-08-12T17:11:30+00:00,695,0,297,103049,0.0,2022,1689.049,,
youtube,post,GCdH26yzFDU,"[BERITA PENUH]
https://www.themalaysianinsight.com/b...

PERSEDIAAN Perikatan Nasional untuk menghadapi enam pilihan raya negeri (PRN) tidak lama lagi sedikit terganggu susulan siri serangan terhadap gabungan itu.

Ini termasuk pembekuan akaun bank rakan komponennya Bersatu, kata Timbalan Presiden PAS Tuan Ibrahim Tuan Man.

Keadaan itu memaksa PN mengurangkan hampir separuh daripada kos perbelanjaan yang dirancang dan akan menumpukan kempen menggunakan platform media sosial, katanya.

👇🏽 Support by getting a subscription
https://www.themalaysianinsight.com/s...
RM150 a year
RM 80 for 6 months
RM 60 for 3 months

Donate to us to show your support and help us sustain as an independent online news portal that delivers breaking news. Your contribution matters, support us https://paypal.me/themalaysianinsight

Website https://www.themalaysianinsight.com/
Telegram https://t.me/msianinsight
Twitter   / msianinsight  
Facebook   / themalaysianinsight  
TikTok https://www.tiktok.com/@themalaysiani...
Minds https://www.minds.com/themalaysianins...",https://www.youtube.com/watch?v=GCdH26yzFDU,,,neutral,2023-03-14T23:15:10+00:00,381,0,343,35016,0.0,1074,1445.016,,
youtube,post,fXe22HnhmoE,"Layari https://pru.astroawani.com/ untuk keputusan penuh #6NegeriMemilih

SUBSCRIBE now! @Astro Awani
https://www.youtube.com/c/astroawani?sub_confirmation=1

Berita lanjut di: http://grid.astroawani.com

Astro AWANI LIVE https://www.astroawani.com/video-terkini

Social Media:
FACEBOOK https://www.facebook.com/astroawani
TWITTER https://twitter.com/501Awani
INSTAGRAM https://www.instagram.com/501awani
TELEGRAM https://t.me/astroawani

#PantauKerajaanBaharu
#AWANInews",https://www.youtube.com/watch?v=fXe22HnhmoE,,,neutral,2023-08-13T01:14:53+00:00,292,0,289,42579,0.0,1006,1201.579,,
youtube,post,p5b2Dv5PoD0,"Laungan “Tolak Umno” bergema dalam Ceramah Perdana Pakatan Harapan (PH) di Seremban, Negeri Sembilam malam tadi, sejurus selepas Menteri Besar Aminuddin Harun selesai menyampaikan ucapan.

Ceramah tersebut yang dihadiri ratusan penyokong PH menyaksikan suasana hangat dengan sorakan dan laungan slogan politik, walaupun beberapa kali diminta supaya bertenang.

Antara pemimpin yang hadir ialah Setiausaha Agung DAP merangkap Ahli Parlimen Seremban, Loke Siew Fook, Menteri Dalam Negeri, Saifuddin Nasution Ismail serta Presiden Amanah, Mohamad Sabu.",https://www.youtube.com/watch?v=p5b2Dv5PoD0,,,neutral,2026-05-07T04:27:56+00:00,204,0,311,35694,0.0,871,1172.694,,
youtube,post,s6YblenUtZw,"Perdana Menteri, Datuk Seri Anwar Ibrahim berkata beliau menyokong penuh keputusan Menteri Besar Negeri Sembilan, Datuk Seri Aminuddin Harun untuk mengadakan pilihanraya negeri setelah mendapat perkenan Yang di-Pertuan Besar.

As the video platform of Malaysia's leading online news portal https://malaysiagazette.com/, we deliver authentic, fact-checked reports covering a wide range of topics: national news, international developments, human-interest stories, politics, economics, educational contents and everything happening in the country and beyond.

Stay informed with our in-depth coverage, exclusive interviews, and insightful analyses designed to keep you connected to the pulse of the nation. Subscribe to MalaysiaGazette now for daily updates and never miss the stories that matter most to you.

#malaysiagazette #mgtv",https://www.youtube.com/watch?v=s6YblenUtZw,,,neutral,2026-06-05T07:07:16+00:00,207,0,191,19917,0.0,597,799.917,,
youtube,comment,Ugwrv7PrM1r_68YujK94AaABAg,Hormatilh pelembagaan negara d bwh Raja2 melayu..barulh d hormati semua pihak agar tidk mempertikaikan...,,https://www.youtube.com/watch?v=s6YblenUtZw,s6YblenUtZw,neutral,2026-06-07T00:00:00+00:00,25,0,0,0,0.0,2500,,"{'id': 'UCASjfickVe6_puUdHLKmX9Q', 'name': '@zamuribinmatasngurizam8333', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_l6Rs8rUI6JICntvEMiKf5r9QXp8hPSDCxxv589n1oGcKvcNdsqVkd68aoAztVALNbNWQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgzZgXsF_zFpwooWo6h4AaABAg,dorang ada peraturan majlis raja.. buka ikot peraturan politikus,,https://www.youtube.com/watch?v=s6YblenUtZw,s6YblenUtZw,neutral,2026-06-07T00:00:00+00:00,23,0,4,0,0.0,2344,,"{'id': 'UCQFBup9qMt-YofBnnerL9Pg', 'name': '@wukong_46', 'thumbnails': [{'url': 'https://yt3.ggpht.com/cO-wGfn6RcB4V7A95Z8HVU0QcFgbAJ-0YTpF1Lg2erw0wEd16vBQjvN8XVJBe6Lg_XDknhy5UA=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,post,4ofoZ_SDqRM,"PAS memberi bayangan berlaku penjajaran semula parti politik di Negeri Sembilan susulan perkembangan terbaharu melibatkan penarikan sokongan UMNO terhadap Menteri Besar Aminuddin Harun.

Ketua Penerangan PAS, Ahmad Fadhli Shaari dalam satu hantaran media sosial menyatakan ucapan tahniah kepada UMNO Negeri Sembilan, yang disifatkan sebagai memulakan langkah ke arah “penyatuan ummah” serta langkah menolak PH, namun tidak memperincikan maksud kenyataan tersebut.

Hantaran itu turut mencetuskan spekulasi mengenai kemungkinan kebangkitan semula kerjasama politik Muafakat Nasional, yang boleh memberi kesan kepada susunan kerajaan negeri.",https://www.youtube.com/watch?v=4ofoZ_SDqRM,,,neutral,2026-04-27T05:49:46+00:00,129,0,130,14934,0.0,408,533.934,,
