Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
youtube,post,ho8O19964v4,"Episod 61 Keluar Sekejap menampilkan tetamu istimewa, DYAM Tunku Mahkota Johor, Tunku Ismail Sultan Ibrahim yang telah berkenan mencemar duli menyertai perbincangan kami.

Pelbagai perkara telah dibincangkan seperti perisytiharan Sultan Johor, Sultan Ibrahim Sultan Iskandar sebagai Yang di-Pertuan Agong ke-17, kerelevanan institusi diraja, bangsa Johor dalam konteks Malaysia, masa depan JDT serta keadaan semasa politik negara.

Segala urusan atau pertanyaan untuk pembelian Merchandise Keluar Sekejap boleh hubungi talian +6019-3293554. Laman web kami sedang dalam penyelenggaraan.

0:00 Intro
2:53 - Siapa TMJ?
9:17 - Kereta pertama TMJ
9:48 - Latar belakang ketenteraan TMJ
15:50 - Kenapa Johor ada askar sendiri?
18:13 - Sultan Johor menjadi YDP Agong
24:44 - KJ & SH perlu kembali kepada UMNO
26:08 - Sultan Johor akan lebih mainkan peranan apabila menjadi YDP Agong?
29:35 - Perancangan TMJ apabila menjadi pemangku Sultan
31:38 - Identiti Bangsa Johor
35:56 - Sultan Johor akan melangkaui kuasa apabila menjadi YDP Agong?
39:24 - Pencapaian Kerajaan diterajui PMX
42:54 - Institusi Diraja boleh mencampuri politik?
50:14 - Pencapaian MB Johor setakat ini
52:16 - Masa depan UMNO
54:20 - Pandangan tentang DAP
56:20 - Relevan Institusi Diraja dalam politik sekarang
1:04:34 - Kita tak boleh ikut sistem monarki di UK
1:05:57 - TMJ unik dikalangan Keluarga Diraja
1:07:50 - Sebab lantik KJ ketika dipinggirkan 
1:10:29 - TMJ akan bosan dengan JDT suatu hari nanti?
1:22:06 - Hubungan Johor dengan Singapura 
1:29:00 - Sistem percukaian di Malaysia",https://www.youtube.com/watch?v=ho8O19964v4,,,neutral,2023-10-29T12:36:34+00:00,46000,0,5674,3006701,0.0,81741,66028.701,,
youtube,post,vKP7r1-zrxE,"Pada Oktober 2008, satu malam yang sepatutnya berakhir dengan hiburan di ibu kota, bertukar menjadi mimpi ngeri buat seorang kerabat diraja. Satu insiden pergaduhan yang melibatkan dua nama besar daripada dua takhta berbeza iaitu Negeri Sembilan dan Johor. Dakwaan dipukul dengan hulu pistol, ancaman nyawa di dalam lif, dan satu laporan polis yang mencetuskan kontroversi nasional. 

#detektifjadian",https://www.youtube.com/watch?v=vKP7r1-zrxE,,,neutral,2026-01-31T05:01:06+00:00,5300,0,3018,463370,0.0,12951,14817.37,,
youtube,post,TQCRTcMOOJc,"HRH Tunku Ismail talks about the influence of hip-hop music in his life, his daily routine, how he steps away from it all and the one thing he does not own...!

Watch EPL Live: www.bit.ly/AstroSportsPack

Get more Stadium Astro on YouTube:
► Premier League Live: https://bit.ly/2s9QLll
► Sunday Night Live: https://bit.ly/2TsXEty
► Man On The Street: http://bit.ly/2EkOyIr
► League of Legends: http://bit.ly/2EkEzTf
► Football Highlights: https://bit.ly/2GWxIoU
► EPL Pitchside: https://bit.ly/2DyMHUt 
► Wishlist: http://bit.ly/2H7TjGV
► For Fans Only: http://bit.ly/2H9xsiy
► Small World: http://bit.ly/2G6VQ2F
► Seriously Series: http://bit.ly/2G5Lv7b
► Express: http://bit.ly/2BUZ1N6
► Sportify: http://bit.ly/2nTkRrv
 
Stadium Astro on Social Media:
► Follow on Twitter:   / stadiumastro  
► Like on Facebook:   / stadiumastro  
► Follow on Instagram:   / stadium.astro  
 
Visit Stadium Astro on YouTube to get up-to-the-minute sports news coverage, scores, highlights, commentary for EPL, NBA, WWE and our stable of original programming.
 
More on Stadium Astro: http://www.stadiumastro.com",https://www.youtube.com/watch?v=TQCRTcMOOJc,,,neutral,2019-06-28T04:30:00+00:00,2600,0,479,251313,0.0,5592,4288.313,,
youtube,post,50ZSuO6XgQY,"Tunku Mahkota Johor (TMJ) hanyalah seorang budak kecil dan dia juga 'bodoh'.

Itu penegasan Tun Dr Mahathir Mohamad sebagai reaksi pada kenyataan Tunku Ismail Sultan Ibrahim yang membangkitkan perkara baik dilakukan ayahandanya, Sultan Ibrahim Sultan Iskandar yang tidak dihebohkan.

Menurut Perdana Menteri, adalah lebih baik seandainya putera sulung Sultan Johor itu berdiam diri daripada bercakap perkara yang beliau tidak tahu.

SUBSCRIBE to NJOI AWANI:
   / njoiawani  

Like us on Facebook   / astroawani  
Follow us on Twitter   / 501awani  
Follow us on Instagram   / 501awani  

Visit http://www.astroawani.com for more news.
Astro AWANI LIVE http://www.astroawani.com/videos/live

#AstroAWANI #AWANI745 #AWANISarawak #KomunitiAWANI #BuletinAWANI",https://www.youtube.com/watch?v=50ZSuO6XgQY,,,neutral,2019-05-06T08:26:57+00:00,888,0,394,107345,0.0,2355,2177.345,,
youtube,comment,Ugyb5GmxX1nKDyP3yup4AaABAg,"Hi sy dari masa depan.
10 Jun 2024, dh terbukti apa Tun M kata ni. 😅",,https://www.youtube.com/watch?v=50ZSuO6XgQY,50ZSuO6XgQY,neutral,2024-06-20T00:00:00Z,446,0,12,0,0.0,4461212,,"{'id': 'UCmSVQOh-szdAhhN5-Zx_tyQ', 'name': '@1ovegyu5', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_kL7daW0mm9R_yCcc_-7ACB2lV35Z9XJTxD7SZFJYjPcFkWqZ4sFO5qPsN-v2vqL0FIzQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugz_GJMk4Ioehf-WMxh4AaABAg,5 tahun lepas lagi dia dah cakap 😂😂😂,,https://www.youtube.com/watch?v=50ZSuO6XgQY,50ZSuO6XgQY,neutral,2024-06-20T00:00:00Z,55,0,0,0,0.0,5500,,"{'id': 'UC7RanrlnWCUczmIluDbgEHw', 'name': '@BlueStrawberry-f2t', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_mN1c1vzIft5ypy_rAQYCalK0QVpe02f37xaOHq7l5Pqc43B_9OZn0V4qqeYf-bVp7yIQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgyQ69kqthVmqOzXeLZ4AaABAg,This is the only thing I like at him. Guts,,https://www.youtube.com/watch?v=50ZSuO6XgQY,50ZSuO6XgQY,neutral,2024-06-20T00:00:00Z,340,0,10,0,0.0,3401010,,"{'id': 'UC-9px14RaUnxqRNeMSJBZHA', 'name': '@usahakeras4431', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_mr94xIzecJt_1z-W0m9Xr-y65DPs2CJ_oTSlp2lTKibsS2=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgzXC_Ufg6y24kxoKnB4AaABAg,keluarga temenggong memang gitu 😂😂😂,,https://www.youtube.com/watch?v=50ZSuO6XgQY,50ZSuO6XgQY,neutral,2024-06-20T00:00:00Z,161,0,3,0,0.0,16133,,"{'id': 'UCMyoEy_dg18pfFiXhxmiI8w', 'name': '@notime-x3s', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_lsh5o0_it4z752WXPy-ZrX4fU8_Sk_iayfRcReBrXaCdseJScSsvpa44zFT2JmKqndZA=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgyuU8jf8B5mDdi6Ik14AaABAg,Looking back... I think Tun M has a point,,https://www.youtube.com/watch?v=50ZSuO6XgQY,50ZSuO6XgQY,neutral,2024-06-20T00:00:00Z,128,0,0,0,0.0,12800,,"{'id': 'UC_3HxAIvW_NelE2MjeymGuA', 'name': '@AB-vw8wz', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_nED2b4DSn-_VprAoHuuLC00qu8xKZi4_QLNAq5jMQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgxENrd7k4HCpr_QwBF4AaABAg,One of the wisest Malaysian person and he proved it.,,https://www.youtube.com/watch?v=50ZSuO6XgQY,50ZSuO6XgQY,neutral,2025-10-20T00:00:00Z,11,0,0,0,0.0,1100,,"{'id': 'UC0T-JK1DxS4AoX4AHHmW2-A', 'name': '@solit727', 'thumbnails': [{'url': 'https://yt3.ggpht.com/C2MnfD9mZu1Kx4Wx9DzhTgpXopvZc0oMKr_iYFilFMGguWX-ektonDh30a_5--SZ0Z3sMooZ2w=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
